,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Austin Bryant,DET,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
1,Tracy Walker,DET,0,0,0,0,0,0.0,12,9,3,0,0,0,0,0,0
2,Dean Marlowe,DET,0,0,0,0,0,0.0,8,4,4,0,1,0,0,0,0
3,Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,8,4,4,2,0,0,0,0,0
4,Will Harris,DET,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
5,Derrick Barnes,DET,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
6,Alim McNeill,DET,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
7,AJ Parker,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Bruce Hector,DET,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Jessie Lemonier,DET,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Julian Okwara,DET,0,0,0,0,0,0.0,3,2,1,1,1,0,0,0,0
11,Levi Onwuzurike,DET,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
12,John Penisini,DET,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,Charles Harris,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,KhaDarel Hodge,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,C.J. Moore,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
16,Bobby Price,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
17,Brady Breeze,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Godwin Igwebuike,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Ifeatu Melifonwu,DET,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
20,Riley Patterson,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Tim Boyle,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,D.J. Reed,SEA,2,9,0,7,3,0.0,8,7,1,0,0,0,0,0,0
25,Ugo Amadi,SEA,1,12,0,12,1,0.0,2,1,1,0,0,0,0,0,0
26,Jordyn Brooks,SEA,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
27,Cody Barton,SEA,0,0,0,0,1,0.0,7,5,2,1,1,0,0,0,0
28,Ryan Neal,SEA,0,0,0,0,1,0.0,6,4,2,0,1,0,0,0,0
29,Quandre Diggs,SEA,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
30,Poona Ford,SEA,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
31,Rasheem Green,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
32,Bryan Mone,SEA,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
33,John Reid,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
34,Darrell Taylor,SEA,0,0,0,0,0,0.0,3,2,1,1,1,0,0,0,0
35,Kerry Hyder,SEA,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
36,Carlos Dunlap,SEA,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
37,Michael Jackson,SEA,0,0,0,0,2,0.0,1,0,1,0,0,0,0,0,0
38,Tanner Muse,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Jason Myers,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Al Woods,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
