,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Desmond King,HOU,1,0,0,0,2,0.0,8,6,2,0,0,0,0,0,0
1,Jordan Jenkins,HOU,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
2,Christian Kirksey,HOU,0,0,0,0,1,0.0,9,5,4,0,0,0,0,0,0
3,Eric Murray,HOU,0,0,0,0,1,0.0,8,6,2,0,0,0,0,0,0
4,Kamu Grugier-Hill,HOU,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
5,Terrance Mitchell,HOU,0,0,0,0,1,0.0,7,5,2,1,0,0,0,0,0
6,Justin Reid,HOU,0,0,0,0,0,0.0,6,5,1,2,0,0,0,0,0
7,Roy Lopez,HOU,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Neville Hewitt,HOU,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
9,Ross Blacklock,HOU,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
10,Jonathan Greenard,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Jaleel Johnson,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Tavierre Thomas,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,DeMarcus Walker,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Terrence Brooks,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Pharaoh Brown,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Chris Conley,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Michael Dwumfour,HOU,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
18,Brevin Jordan,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Jacob Martin,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Garret Wallow,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Jon Weeks,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Eric Wilson,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Davis Mills,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,Jordan Veasy,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
27,Marcell Harris,SFO,1,2,0,2,1,0.0,10,6,4,0,0,0,0,0,0
28,Arden Key,SFO,0,0,0,0,0,1.0,1,1,0,1,4,0,0,0,0
29,Jordan Willis,SFO,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,1
30,Arik Armstead,SFO,0,0,0,0,0,0.5,8,3,5,0,1,0,0,0,0
31,Samson Ebukam,SFO,0,0,0,0,0,0.5,3,1,2,1,1,0,0,0,0
32,Fred Warner,SFO,0,0,0,0,0,0.0,15,7,8,1,0,0,0,0,1
33,Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
34,Jaquiski Tartt,SFO,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
35,Ambry Thomas,SFO,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0
36,Jimmie Ward,SFO,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
37,K'Waun Williams,SFO,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
38,River Cracraft,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Kevin Givens,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
40,Dontae Johnson,SFO,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
41,Mark Nzeocha,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
42,Nick Bosa,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Jamycal Hasty,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,D.J. Jones,SFO,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
45,Kyle Juszczyk,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,Charles Omenihu,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
47,Trent Williams,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
48,Jeff Wilson,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
49,Charlie Woerner,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
50,Brandon Aiyuk,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
51,Kentavius Street,SFO,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
