,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Derek Carr,LVR,24,31,255,1,2,2,14,42,84.7,0,0,0,0,0,0,0,0,0,0,0
1,Marcus Mariota,LVR,0,1,0,0,0,0,0,0,39.6,3,16,0,9,0,0,0,0,0,1,0
2,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,16,63,1,9,4,4,17,0,11,0,0
3,Jalen Richard,LVR,0,0,0,0,0,0,0,0,,1,4,0,4,1,1,19,0,19,0,0
4,Peyton Barber,LVR,0,0,0,0,0,0,0,0,,6,3,0,3,2,2,9,0,7,1,0
5,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,76,1,24,0,0
6,Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
7,DeSean Jackson,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
8,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
9,Zay Jones,LVR,0,0,0,0,0,0,0,0,,1,-1,0,-1,10,8,120,0,42,0,0
12,Carson Wentz,IND,16,27,148,1,0,1,8,45,86.7,3,10,0,7,0,0,0,0,0,0,0
13,Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,20,108,1,24,2,1,6,0,6,0,0
14,Nyheim Hines,IND,0,0,0,0,0,0,0,0,,2,4,0,3,4,4,14,0,6,0,0
15,Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,47,0,12,0,0
16,T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,45,1,45,0,0
17,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,17,1,0
18,Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
19,Deon Jackson,IND,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
20,Dezmon Patmon,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
21,Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
