,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Tua Tagovailoa,MIA,18,38,205,0,1,4,23,45,53.1,2,1,0,1,0,0,0,0,0,3,1
1,Mike Gesicki,MIA,0,1,0,0,0,0,0,0,39.6,0,0,0,0,7,4,51,0,15,0,0
2,Duke Johnson,MIA,0,0,0,0,0,0,0,0,,7,49,0,16,3,2,16,0,10,0,0
3,Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,5,23,0,8,1,0,0,0,0,0,0
4,Phillip Lindsay,MIA,0,0,0,0,0,0,0,0,,2,1,0,1,1,1,8,0,8,0,0
5,Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,47,0,45,0,0
6,DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,13,4,46,0,20,0,0
7,Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,21,0,0
8,Isaiah Ford,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0
9,Mack Hollins,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
12,Ryan Tannehill,TEN,13,18,120,2,0,1,10,28,127.1,4,7,0,5,0,0,0,0,0,1,0
13,D'Onta Foreman,TEN,0,0,0,0,0,0,0,0,,26,132,1,35,0,0,0,0,0,0,0
14,Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,8,45,1,39,3,3,33,0,28,0,0
15,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,2,14,0,12,0,0,0,0,0,0,0
16,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,41,0,25,0,0
17,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,1,15,0,0
18,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0
19,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,9,1,5,0,0
20,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
