,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Matthew Stafford,LAR,26,35,309,2,2,1,9,35,96.0,1,-1,0,-1,0,0,0,0,0,1,1
1,Sony Michel,LAR,0,0,0,0,0,0,0,0,,19,74,1,14,5,3,25,0,12,0,0
2,Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,95,1,24,0,0
3,Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,69,0,19,0,0
4,Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,63,0,35,0,0
5,Odell Beckham Jr.,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,39,1,17,0,0
6,Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,15,0,0
9,Tyler Huntley,BAL,20,32,197,0,1,5,35,33,66.8,6,54,0,17,0,0,0,0,0,0,0
10,Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,14,76,0,32,1,1,1,0,1,0,0
11,Latavius Murray,BAL,0,0,0,0,0,0,0,0,,11,31,0,6,0,0,0,0,0,0,0
12,Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,1,4,0,4,3,2,19,0,14,0,0
13,Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,89,0,33,0,0
14,Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,58,0,15,0,0
15,Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,28,0,13,1,1
16,Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
