,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Zay Jones,LVR,10,8,120,0,6,96,12.0,24,3.0,12.2,0,,0,0.0,1,77.1
1,Hunter Renfrow,LVR,9,7,76,1,4,50,7.1,26,3.7,11.2,0,,0,0.0,0,138.9
2,Josh Jacobs,LVR,4,4,17,0,2,-3,-0.8,20,5.0,-0.8,0,,0,0.0,0,84.4
3,Peyton Barber,LVR,2,2,9,0,0,5,2.5,4,2.0,2.5,0,,0,0.0,0,85.4
4,DeSean Jackson,LVR,3,1,5,0,,3,3.0,2,2.0,19.0,0,,0,0.0,1,2.8
5,Foster Moreau,LVR,1,1,9,0,,4,4.0,5,5.0,4.0,0,,0,0.0,0,104.2
6,Jalen Richard,LVR,1,1,19,0,1,2,2.0,17,17.0,2.0,1,1.0,0,0.0,0,118.7
7,Bryan Edwards,LVR,2,0,0,0,,0,,0,,10.5,0,,0,0.0,0,39.6
9,Michael Pittman Jr.,IND,6,6,47,0,1,19,3.2,28,4.7,3.2,1,6.0,0,0.0,0,99.3
10,Nyheim Hines,IND,4,4,14,0,1,3,0.8,11,2.8,0.8,0,,0,0.0,0,81.2
11,Mo Alie-Cox,IND,5,3,28,0,2,22,7.3,6,2.0,7.0,0,,0,0.0,0,75.4
12,T.Y. Hilton,IND,3,1,45,1,1,45,45.0,0,0.0,23.7,0,,1,33.3,0,121.5
13,Zach Pascal,IND,2,1,8,0,,6,6.0,2,2.0,12.5,0,,0,0.0,0,60.4
14,Jonathan Taylor,IND,2,1,6,0,1,2,2.0,4,4.0,0.0,0,,0,0.0,0,56.2
15,Ashton Dulin,IND,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
16,Dezmon Patmon,IND,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
