,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Quenton Nelson,G,IND,58,100%,0,0%,4,15%
1,Braden Smith,T,IND,58,100%,0,0%,4,15%
2,Matt Pryor,T,IND,58,100%,0,0%,4,15%
3,Carson Wentz,QB,IND,58,100%,0,0%,0,0%
4,Mark Glowinski,G,IND,58,100%,0,0%,0,0%
5,Ryan Kelly,C,IND,58,100%,0,0%,0,0%
6,Michael Pittman Jr.,WR,IND,55,95%,0,0%,0,0%
7,Jonathan Taylor,RB,IND,41,71%,0,0%,0,0%
8,T.Y. Hilton,WR,IND,36,62%,0,0%,0,0%
9,Zach Pascal,WR,IND,34,59%,0,0%,6,23%
10,Mo Alie-Cox,TE,IND,33,57%,0,0%,9,35%
11,Ashton Dulin,WR,IND,27,47%,0,0%,17,65%
12,Jack Doyle,TE,IND,22,38%,0,0%,0,0%
13,Nyheim Hines,RB,IND,21,36%,0,0%,2,8%
14,Kylen Granson,TE,IND,14,24%,0,0%,0,0%
15,Dezmon Patmon,WR,IND,4,7%,0,0%,0,0%
16,Danny Pinter,G,IND,2,3%,0,0%,4,15%
17,Deon Jackson,RB,IND,1,2%,0,0%,5,19%
18,George Odum,FS,IND,0,0%,62,100%,21,81%
19,Khari Willis,SS,IND,0,0%,62,100%,10,38%
20,Darius Leonard,LB,IND,0,0%,62,100%,5,19%
21,Kenny Moore,CB,IND,0,0%,62,100%,5,19%
22,Bobby Okereke,LB,IND,0,0%,62,100%,5,19%
23,DeForest Buckner,DT,IND,0,0%,48,77%,9,35%
24,Al-Quadin Muhammad,DE,IND,0,0%,46,74%,0,0%
25,Kwity Paye,DE,IND,0,0%,46,74%,0,0%
26,Rock Ya-Sin,CB,IND,0,0%,45,73%,7,27%
27,Grover Stewart,DT,IND,0,0%,35,56%,9,35%
28,Isaiah Rodgers,CB,IND,0,0%,32,52%,12,46%
29,Xavier Rhodes,CB,IND,0,0%,32,52%,0,0%
30,Isaac Rochell,DE,IND,0,0%,18,29%,7,27%
31,Dayo Odeyingbo,DE,IND,0,0%,17,27%,0,0%
32,Taylor Stallworth,DT,IND,0,0%,16,26%,5,19%
33,Kemoko Turay,DE,IND,0,0%,13,21%,0,0%
34,Zaire Franklin,LB,IND,0,0%,11,18%,22,85%
35,Chris Williams,DT,IND,0,0%,9,15%,0,0%
36,E.J. Speed,LB,IND,0,0%,4,6%,17,65%
37,Matthew Adams,LB,IND,0,0%,0,0%,22,85%
38,Jordan Glasgow,LB,IND,0,0%,0,0%,17,65%
39,Rigoberto Sanchez,P,IND,0,0%,0,0%,14,54%
40,Will Redmond,SS,IND,0,0%,0,0%,13,50%
41,Jahleel Addae,FS,IND,0,0%,0,0%,10,38%
42,Kyle Nelson,LS,IND,0,0%,0,0%,9,35%
43,Michael Badgley,K,IND,0,0%,0,0%,4,15%
44,T.J. Carrie,CB,IND,0,0%,0,0%,4,15%
