,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Zack Martin,G,DAL,64,100%,0,0%,3,12%
1,Tyler Biadasz,C,DAL,64,100%,0,0%,3,12%
2,Connor Williams,G,DAL,64,100%,0,0%,3,12%
3,La'el Collins,T,DAL,64,100%,0,0%,0,0%
4,Dak Prescott,QB,DAL,64,100%,0,0%,0,0%
5,Tyron Smith,T,DAL,64,100%,0,0%,0,0%
6,Dalton Schultz,TE,DAL,60,94%,0,0%,0,0%
7,Amari Cooper,WR,DAL,58,91%,0,0%,0,0%
8,CeeDee Lamb,WR,DAL,56,88%,0,0%,4,15%
9,Ezekiel Elliott,RB,DAL,45,70%,0,0%,0,0%
10,Cedrick Wilson Jr.,WR,DAL,30,47%,0,0%,0,0%
11,Michael Gallup,WR,DAL,26,41%,0,0%,0,0%
12,Tony Pollard,RB,DAL,19,30%,0,0%,0,0%
13,Jeremy Sprinkle,TE,DAL,11,17%,0,0%,13,50%
14,Sean McKeon,TE,DAL,5,8%,0,0%,13,50%
15,Connor McGovern,G,DAL,5,8%,0,0%,3,12%
16,Noah Brown,WR,DAL,4,6%,0,0%,18,69%
17,Terence Steele,T,DAL,1,2%,0,0%,3,12%
18,Trevon Diggs,CB,DAL,0,0%,77,100%,0,0%
19,Jayron Kearse,FS,DAL,0,0%,77,100%,0,0%
20,Anthony Brown,CB,DAL,0,0%,77,100%,0,0%
21,Micah Parsons,LB,DAL,0,0%,76,99%,5,19%
22,Leighton Vander Esch,LB,DAL,0,0%,57,74%,11,42%
23,Donovan Wilson,SS,DAL,0,0%,51,66%,2,8%
24,DeMarcus Lawrence,DE,DAL,0,0%,51,66%,0,0%
25,Jourdan Lewis,CB,DAL,0,0%,50,65%,0,0%
26,Randy Gregory,DE,DAL,0,0%,47,61%,0,0%
27,Osa Odighizuwa,DT,DAL,0,0%,41,53%,5,19%
28,Dorance Armstrong Jr.,DE,DAL,0,0%,39,51%,10,38%
29,Malik Hooker,FS,DAL,0,0%,35,45%,0,0%
30,Tarell Basham,DE,DAL,0,0%,31,40%,9,35%
31,Damontae Kazee,SS,DAL,0,0%,31,40%,4,15%
32,Neville Gallimore,DT,DAL,0,0%,31,40%,0,0%
33,Trysten Hill,DT,DAL,0,0%,29,38%,0,0%
34,Carlos Watkins,DE,DAL,0,0%,24,31%,5,19%
35,Kelvin Joseph,CB,DAL,0,0%,19,25%,12,46%
36,Chauncey Golston,DE,DAL,0,0%,4,5%,18,69%
37,Luke Gifford,LB,DAL,0,0%,0,0%,23,88%
38,Darian Thompson,FS,DAL,0,0%,0,0%,23,88%
39,Nahshon Wright,CB,DAL,0,0%,0,0%,22,85%
40,C.J. Goodwin,CB,DAL,0,0%,0,0%,18,69%
41,Corey Clement,RB,DAL,0,0%,0,0%,18,69%
42,Malik Turner,WR,DAL,0,0%,0,0%,14,54%
