,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Jordan Mills,T,NOR,58,100%,0,0%,6,22%
1,James Hurst,T,NOR,58,100%,0,0%,6,22%
2,Calvin Throckmorton,T,NOR,58,100%,0,0%,6,22%
3,Cesar Ruiz,G,NOR,58,100%,0,0%,6,22%
4,Will Clapp,C,NOR,58,100%,0,0%,6,22%
5,Taysom Hill,QB,NOR,58,100%,0,0%,0,0%
6,Marquez Callaway,WR,NOR,49,84%,0,0%,0,0%
7,Adam Trautman,TE,NOR,48,83%,0,0%,6,22%
8,Alvin Kamara,RB,NOR,45,78%,0,0%,0,0%
9,Lil'Jordan Humphrey,WR,NOR,37,64%,0,0%,0,0%
10,Juwan Johnson,TE,NOR,27,47%,0,0%,0,0%
11,Deonte Harris,WR,NOR,24,41%,0,0%,8,30%
12,Adam Prentice,FB,NOR,20,34%,0,0%,9,33%
13,James Carpenter,G,NOR,13,22%,0,0%,6,22%
14,Kenny Stills,WR,NOR,10,17%,0,0%,0,0%
15,Tony Jones,RB,NOR,9,16%,0,0%,0,0%
16,Ty Montgomery,WR,NOR,8,14%,0,0%,12,44%
17,Paulson Adebo,CB,NOR,0,0%,61,100%,10,37%
18,Malcolm Jenkins,SS,NOR,0,0%,61,100%,3,11%
19,Marshon Lattimore,CB,NOR,0,0%,61,100%,0,0%
20,Demario Davis,LB,NOR,0,0%,61,100%,0,0%
21,Chauncey Gardner-Johnson,SS,NOR,0,0%,52,85%,4,15%
22,Cameron Jordan,DE,NOR,0,0%,48,79%,3,11%
23,Kwon Alexander,LB,NOR,0,0%,47,77%,0,0%
24,David Onyemata,DT,NOR,0,0%,44,72%,3,11%
25,Jeff Heath,SS,NOR,0,0%,39,64%,13,48%
26,Marcus Davenport,DE,NOR,0,0%,38,62%,4,15%
27,Carl Granderson,DE,NOR,0,0%,25,41%,9,33%
28,P.J. Williams,CB,NOR,0,0%,25,41%,0,0%
29,Christian Ringo,DT,NOR,0,0%,21,34%,0,0%
