,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Alijah Vera-Tucker,G,NYJ,61,100%,0,0%,4,15%
1,Morgan Moses,T,NYJ,61,100%,0,0%,4,15%
2,Dan Feeney,G,NYJ,61,100%,0,0%,4,15%
3,Laurent Duvernay-Tardif,G,NYJ,61,100%,0,0%,4,15%
4,Zach Wilson,QB,NYJ,61,100%,0,0%,0,0%
5,Jeff Smith,WR,NYJ,59,97%,0,0%,4,15%
6,Braxton Berrios,WR,NYJ,53,87%,0,0%,9,35%
7,Keelan Cole,WR,NYJ,50,82%,0,0%,6,23%
8,Chuma Edoga,T,NYJ,41,67%,0,0%,0,0%
9,Kenny Yeboah,TE,NYJ,37,61%,0,0%,16,62%
10,Ty Johnson,RB,NYJ,31,51%,0,0%,7,27%
11,Austin Walter,RB,NYJ,25,41%,0,0%,0,0%
12,George Fant,T,NYJ,20,33%,0,0%,0,0%
13,Conor McDermott,T,NYJ,14,23%,0,0%,0,0%
14,Nick Bawden,RB,NYJ,13,21%,0,0%,19,73%
15,Daniel Brown,TE,NYJ,12,20%,0,0%,7,27%
16,Michael Carter,RB,NYJ,8,13%,0,0%,0,0%
17,D.J. Montgomery,WR,NYJ,3,5%,0,0%,12,46%
18,C.J. Mosley,LB,NYJ,0,0%,74,100%,5,19%
19,Bryce Hall,CB,NYJ,0,0%,74,100%,1,4%
20,Quincy Williams,LB,NYJ,0,0%,73,99%,5,19%
21,Brandin Echols,CB,NYJ,0,0%,67,91%,4,15%
22,Michael Carter,CB,NYJ,0,0%,63,85%,1,4%
23,Elijah Riley,DB,NYJ,0,0%,62,84%,0,0%
24,Ronald Blair,DE,NYJ,0,0%,57,77%,5,19%
25,John Franklin-Myers,DE,NYJ,0,0%,52,70%,1,4%
26,Sheldon Rankins,DT,NYJ,0,0%,50,68%,5,19%
27,Jason Pinnock,CB,NYJ,0,0%,50,68%,5,19%
28,Folorunso Fatukasi,DT,NYJ,0,0%,36,49%,4,15%
29,Ashtyn Davis,SS,NYJ,0,0%,36,49%,0,0%
30,Nathan Shepherd,DT,NYJ,0,0%,32,43%,9,35%
31,Bryce Huff,DE,NYJ,0,0%,24,32%,5,19%
32,Tim Ward,DE,NYJ,0,0%,24,32%,0,0%
33,Jonathan Marshall,DT,NYJ,0,0%,19,26%,0,0%
34,Will Parks,FS,NYJ,0,0%,9,12%,11,42%
35,Javelin Guidry,CB,NYJ,0,0%,7,9%,12,46%
36,Hamsah Nasirildeen,LB,NYJ,0,0%,5,7%,19,73%
37,Del'Shawn Phillips,LB,NYJ,0,0%,0,0%,21,81%
38,Justin Hardee,CB,NYJ,0,0%,0,0%,21,81%
39,Kai Nacua,SS,NYJ,0,0%,0,0%,17,65%
40,Braden Mann,P,NYJ,0,0%,0,0%,13,50%
41,Thomas Hennessy,LS,NYJ,0,0%,0,0%,8,31%
42,Lamar Jackson,CB,NYJ,0,0%,0,0%,5,19%
43,Rachad Wildgoose,CB,NYJ,0,0%,0,0%,5,19%
44,Eddy Pineiro,K,NYJ,0,0%,0,0%,4,15%
45,Greg Van Roten,G,NYJ,0,0%,0,0%,4,15%
0,Tristan Wirfs,T,TAM,74,100%,0,0%,4,15%
1,Donovan Smith,T,TAM,74,100%,0,0%,4,15%
2,Ali Marpet,G,TAM,74,100%,0,0%,4,15%
3,Alex Cappa,G,TAM,74,100%,0,0%,4,15%
4,Tom Brady,QB,TAM,74,100%,0,0%,0,0%
5,Ryan Jensen,C,TAM,74,100%,0,0%,0,0%
6,Rob Gronkowski,TE,TAM,70,95%,0,0%,0,0%
7,Mike Evans,WR,TAM,56,76%,0,0%,0,0%
8,Tyler Johnson,WR,TAM,49,66%,0,0%,13,50%
9,Cyril Grayson,WR,TAM,47,64%,0,0%,14,54%
10,Le'Veon Bell,RB,TAM,26,35%,0,0%,0,0%
11,Antonio Brown,WR,TAM,26,35%,0,0%,0,0%
12,Ke'Shawn Vaughn,RB,TAM,24,32%,0,0%,7,27%
13,Cameron Brate,TE,TAM,21,28%,0,0%,0,0%
14,Ronald Jones II,RB,TAM,20,27%,0,0%,0,0%
15,O.J. Howard,TE,TAM,14,19%,0,0%,5,19%
16,Breshad Perriman,WR,TAM,11,15%,0,0%,1,4%
17,Josh Wells,T,TAM,6,8%,0,0%,4,15%
18,Jordan Whitehead,SS,TAM,0,0%,61,100%,4,15%
19,Devin White,LB,TAM,0,0%,61,100%,1,4%
20,Antoine Winfield Jr.,FS,TAM,0,0%,61,100%,0,0%
21,Carlton Davis,CB,TAM,0,0%,59,97%,6,23%
22,Anthony Nelson,LB,TAM,0,0%,58,95%,12,46%
23,Kevin Minter,LB,TAM,0,0%,57,93%,5,19%
24,Joe Tryon-Shoyinka,LB,TAM,0,0%,53,87%,5,19%
25,Ndamukong Suh,DE,TAM,0,0%,42,69%,0,0%
26,Mike Edwards,FS,TAM,0,0%,39,64%,3,12%
27,Vita Vea,NT,TAM,0,0%,39,64%,0,0%
28,Jamel Dean,CB,TAM,0,0%,32,52%,4,15%
29,William Gholston,DE,TAM,0,0%,26,43%,5,19%
30,Pierre Desir,CB,TAM,0,0%,22,36%,14,54%
31,Rakeem Nunez-Roches,DT,TAM,0,0%,22,36%,9,35%
32,Cam Gill,LB,TAM,0,0%,15,25%,17,66%
33,Steve McLendon,NT,TAM,0,0%,14,23%,4,15%
34,Sean Murphy-Bunting,CB,TAM,0,0%,9,15%,0,0%
35,Ross Cockrell,CB,TAM,0,0%,1,2%,22,85%
36,Andrew Adams,SS,TAM,0,0%,0,0%,21,81%
37,K.J. Britt,LB,TAM,0,0%,0,0%,20,77%
38,Grant Stuard,LB,TAM,0,0%,0,0%,17,66%
39,Sterling Hofrichter,P,TAM,0,0%,0,0%,13,50%
