,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,A.J. Green,CLE,1,1,0,1,2,0.0,2,0,2,0,0,0,0,0,0
1,Jadeveon Clowney,CLE,0,0,0,0,0,2.0,6,4,2,1,2,0,0,0,1
2,Grant Delpit,CLE,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,0
3,Anthony Walker,CLE,0,0,0,0,0,0.0,9,3,6,0,0,0,0,0,0
4,Greg Newsome II,CLE,0,0,0,0,2,0.0,8,7,1,0,0,0,0,0,0
5,Jeremiah Owusu-Koramoah,CLE,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
6,M.J. Stewart,CLE,0,0,0,0,2,0.0,7,4,3,0,0,0,0,0,0
7,Malcolm Smith,CLE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Tommy Togiai,CLE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
9,Ifeadi Odenigbo,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
10,Jacob Phillips,CLE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
11,Sione Takitaki,CLE,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
12,Denzel Ward,CLE,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
13,Sheldon Day,CLE,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
14,Porter Gustin,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,Malik McDowell,CLE,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
16,Ja'Marcus Bradley,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Jordan Elliott,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Myles Garrett,CLE,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
19,Willie Harvey,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Austin Hooper,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Donovan Peoples-Jones,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Tre Norwood,PIT,1,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
25,Ahkello Witherspoon,PIT,1,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0
26,T.J. Watt,PIT,0,0,0,0,2,4.0,5,5,0,3,5,0,0,0,0
27,Alex Highsmith,PIT,0,0,0,0,0,2.0,7,7,0,3,2,0,0,0,0
28,Cameron Heyward,PIT,0,0,0,0,2,1.0,4,4,0,1,2,0,0,0,0
29,Henry Mondeaux,PIT,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
30,Derrek Tuszka,PIT,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
31,Robert Spillane,PIT,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0
32,Marcus Allen,PIT,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
33,Terrell Edmunds,PIT,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
34,Minkah Fitzpatrick,PIT,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
35,Ulysees Gilbert,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
36,Joe Haden,PIT,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
37,Kevin Rader,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Derek Watt,PIT,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
39,Justin Layne,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
40,Benny Snell Jr.,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
41,Cameron Sutton,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
42,Pat Freiermuth,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Isaiahh Loudermilk,PIT,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
44,Ray-Ray McCloud,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
45,Ben Roethlisberger,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
