,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Dan Moore,T,PIT,81,100%,0,0%,6,19%
1,J.C. Hassenauer,C,PIT,81,100%,0,0%,6,19%
2,Ben Roethlisberger,QB,PIT,81,100%,0,0%,0,0%
3,John Leglue,T,PIT,81,100%,0,0%,0,0%
4,Chukwuma Okorafor,T,PIT,80,99%,0,0%,6,19%
5,Najee Harris,RB,PIT,78,96%,0,0%,0,0%
6,Diontae Johnson,WR,PIT,72,89%,0,0%,1,3%
7,Chase Claypool,WR,PIT,71,88%,0,0%,1,3%
8,Trai Turner,G,PIT,67,83%,0,0%,0,0%
9,Pat Freiermuth,TE,PIT,62,77%,0,0%,4,13%
10,Ray-Ray McCloud,WR,PIT,53,65%,0,0%,10,32%
11,Zach Gentry,TE,PIT,41,51%,0,0%,6,19%
12,Joe Haeg,T,PIT,15,19%,0,0%,3,10%
13,James Washington,WR,PIT,15,19%,0,0%,1,3%
14,Derek Watt,FB,PIT,5,6%,0,0%,23,74%
15,Kevin Rader,TE,PIT,5,6%,0,0%,8,26%
16,Benny Snell Jr.,RB,PIT,3,4%,0,0%,23,74%
17,Minkah Fitzpatrick,SS,PIT,0,0%,71,100%,3,10%
18,Terrell Edmunds,SS,PIT,0,0%,71,100%,2,6%
19,Cameron Sutton,CB,PIT,0,0%,70,99%,3,10%
20,Joe Haden,CB,PIT,0,0%,69,97%,2,6%
21,Robert Spillane,LB,PIT,0,0%,62,87%,11,35%
22,Alex Highsmith,LB,PIT,0,0%,56,79%,2,6%
23,T.J. Watt,LB,PIT,0,0%,56,79%,0,0%
24,Ahkello Witherspoon,CB,PIT,0,0%,55,77%,1,3%
25,Cameron Heyward,DT,PIT,0,0%,52,73%,6,19%
26,Isaiahh Loudermilk,DE,PIT,0,0%,45,63%,8,26%
27,Marcus Allen,LB,PIT,0,0%,37,52%,16,52%
28,Montravius Adams,DE,PIT,0,0%,28,39%,2,6%
29,Ulysees Gilbert,LB,PIT,0,0%,27,38%,24,77%
30,Henry Mondeaux,DE,PIT,0,0%,20,28%,3,10%
31,Tre Norwood,FS,PIT,0,0%,16,23%,17,55%
32,Derrek Tuszka,LB,PIT,0,0%,16,23%,17,55%
33,Taco Charlton,DE,PIT,0,0%,15,21%,0,0%
34,Carlos Davis,DT,PIT,0,0%,9,13%,0,0%
35,Miles Killebrew,FS,PIT,0,0%,6,8%,22,71%
36,James Pierre,CB,PIT,0,0%,0,0%,20,65%
37,Justin Layne,CB,PIT,0,0%,0,0%,20,65%
38,Chris Boswell,K,PIT,0,0%,0,0%,13,42%
39,Christian Kuntz,LS,PIT,0,0%,0,0%,11,35%
40,Corliss Waitman,P,PIT,0,0%,0,0%,11,35%
41,Cody White,WR,PIT,0,0%,0,0%,10,32%
42,Trey Edmunds,RB,PIT,0,0%,0,0%,7,23%
43,Rashaad Coward,T,PIT,0,0%,0,0%,6,19%
44,Tegray Scales,LB,PIT,0,0%,0,0%,4,13%
45,Kalen Ballage,RB,PIT,0,0%,0,0%,2,6%
0,J.C. Tretter,C,CLE,71,100%,0,0%,2,6%
1,Wyatt Teller,G,CLE,71,100%,0,0%,2,6%
2,Joel Bitonio,G,CLE,71,100%,0,0%,2,6%
3,James Hudson,T,CLE,71,100%,0,0%,2,6%
4,Jedrick Wills Jr.,T,CLE,71,100%,0,0%,0,0%
5,Baker Mayfield,QB,CLE,71,100%,0,0%,0,0%
6,Donovan Peoples-Jones,WR,CLE,64,90%,0,0%,5,16%
7,David Njoku,TE,CLE,51,72%,0,0%,0,0%
