,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Leighton Vander Esch,DAL,1,7,0,7,1,0.0,6,3,3,0,0,0,0,0,0
1,DeMarcus Lawrence,DAL,0,0,0,0,1,1.0,4,3,1,1,1,0,0,0,0
2,Tarell Basham,DAL,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0
3,Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.5,3,0,3,0,2,0,0,0,0
4,Trysten Hill,DAL,0,0,0,0,0,0.5,2,1,1,0,2,0,0,0,0
5,Kelvin Joseph,DAL,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
6,Damontae Kazee,DAL,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
7,Neville Gallimore,DAL,0,0,0,0,0,0.0,5,3,2,2,0,0,0,0,0
8,Keanu Neal,DAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
9,Luke Gifford,DAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
10,Nahshon Wright,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
11,Malik Hooker,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
12,Jourdan Lewis,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,Osa Odighizuwa,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
14,Donovan Wilson,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
15,Tyler Coyle,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
16,Chauncey Golston,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
17,C.J. Goodwin,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
18,Randy Gregory,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
19,Maurice Canady,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Carlos Watkins,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Josiah Scott,PHI,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
24,K'Von Wallace,PHI,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0
25,Shaun Bradley,PHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
26,Andre Chachere,PHI,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0
27,Patrick Johnson,PHI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
28,Tarron Jackson,PHI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
29,Christian Elliss,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
30,Mac McCain,PHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
31,Hassan Ridgeway,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Milton Williams,PHI,0,0,0,0,1,0.0,3,2,1,2,1,0,0,0,0
33,Marvin Wilson,PHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
34,Jared Mayden,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Zech McPhearson,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Richard Rodgers,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
37,JaCoby Stevens,PHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
38,Noah Togiai,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Marlon Tuipulotu,PHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
40,Kary Vincent Jr.,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
41,Raequan Williams,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
42,Tay Gowan,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Cameron Malveaux,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
