,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Dak Prescott,DAL,21,27,295,5,0,1,1,37,151.8,0,0,0,0,0,0,0,0,0,0,0
1,Cooper Rush,DAL,1,1,10,0,0,0,0,10,108.3,3,-4,0,-1,0,0,0,0,0,0,0
2,Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,18,87,0,26,3,1,3,0,3,0,0
3,Corey Clement,DAL,0,0,0,0,0,0,0,0,,7,58,0,38,4,4,22,1,8,0,0
4,JaQuan Hardy,DAL,0,0,0,0,0,0,0,0,,3,26,1,22,0,0,0,0,0,0,0
5,Ito Smith,DAL,0,0,0,0,0,0,0,0,,1,4,1,4,0,0,0,0,0,0,0
6,Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,119,2,37,0,0
7,Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,79,0,27,0,0
8,CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,45,0,31,0,0
9,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,2,10,0,0
10,Jeremy Sprinkle,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
11,Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
14,Gardner Minshew II,PHI,19,33,186,2,1,3,22,36,81.1,5,10,0,4,0,0,0,0,0,0,0
15,Greg Ward,PHI,1,1,2,0,0,0,0,2,79.2,0,0,0,0,2,1,2,0,2,0,0
16,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,12,78,1,18,7,4,9,0,9,0,0
17,Jason Huntley,PHI,0,0,0,0,0,0,0,0,,13,51,0,18,1,0,0,0,0,0,0
18,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,3,10,0,7,3,2,19,0,12,0,0
19,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,84,1,36,0,0
20,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,25,0,0
21,Tyree Jackson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,22,1,13,0,0
22,Richard Rodgers,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,9,0,0
23,JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
