,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Garett Bolles,T,DEN,54,100%,0,0%,4,16%
1,Quinn Meinerz,G,DEN,54,100%,0,0%,4,16%
2,Netane Muti,G,DEN,54,100%,0,0%,4,16%
3,Drew Lock,QB,DEN,54,100%,0,0%,0,0%
4,Lloyd Cushenberry III,C,DEN,54,100%,0,0%,0,0%
5,Cameron Fleming,T,DEN,54,100%,0,0%,0,0%
6,Noah Fant,TE,DEN,52,96%,0,0%,0,0%
7,Tim Patrick,WR,DEN,42,78%,0,0%,0,0%
8,Courtland Sutton,WR,DEN,41,76%,0,0%,0,0%
9,Jerry Jeudy,WR,DEN,36,67%,0,0%,0,0%
10,Javonte Williams,RB,DEN,30,56%,0,0%,0,0%
11,Melvin Gordon,RB,DEN,26,48%,0,0%,0,0%
12,Albert Okwuegbunam,TE,DEN,16,30%,0,0%,0,0%
13,Eric Saubert,TE,DEN,14,26%,0,0%,20,80%
14,Seth Williams,WR,DEN,6,11%,0,0%,12,48%
15,Kendall Hinton,WR,DEN,4,7%,0,0%,8,32%
16,Tyrie Cleveland,WR,DEN,3,6%,0,0%,15,60%
17,Justin Simmons,FS,DEN,0,0%,78,100%,4,16%
18,Bryce Callahan,CB,DEN,0,0%,78,100%,0,0%
19,Caden Sterns,FS,DEN,0,0%,78,100%,0,0%
20,Michael Ojemudia,CB,DEN,0,0%,75,96%,1,4%
21,Baron Browning,LB,DEN,0,0%,74,95%,0,0%
22,Kyle Fuller,CB,DEN,0,0%,72,92%,0,0%
23,Jonas Griffith,LB,DEN,0,0%,67,86%,5,20%
24,Malik Reed,LB,DEN,0,0%,55,71%,4,16%
25,Bradley Chubb,LB,DEN,0,0%,53,68%,0,0%
26,Dre'Mont Jones,DE,DEN,0,0%,49,63%,4,16%
27,Shelby Harris,DE,DEN,0,0%,33,42%,4,16%
28,Shamar Stephen,DE,DEN,0,0%,31,40%,5,20%
29,Mike Purcell,NT,DEN,0,0%,30,38%,5,20%
30,Stephen Weatherly,LB,DEN,0,0%,26,33%,6,24%
31,Jonathan Harris,DE,DEN,0,0%,23,29%,5,20%
32,Jonathon Cooper,LB,DEN,0,0%,22,28%,16,64%
33,P.J. Locke,FS,DEN,0,0%,11,14%,20,80%
34,Micah Kiser,LB,DEN,0,0%,3,4%,17,68%
35,Aaron Patrick,LB,DEN,0,0%,0,0%,21,84%
36,Justin Strnad,LB,DEN,0,0%,0,0%,21,84%
37,Mike Ford,CB,DEN,0,0%,0,0%,15,60%
38,Mike Boone,RB,DEN,0,0%,0,0%,12,48%
39,Jamar Johnson,FS,DEN,0,0%,0,0%,10,40%
40,Brandon McManus,K,DEN,0,0%,0,0%,9,36%
41,Sam Martin,P,DEN,0,0%,0,0%,8,32%
42,Jacob Bobenmoyer,LS,DEN,0,0%,0,0%,8,32%
43,Austin Schlottmann,G,DEN,0,0%,0,0%,4,16%
44,Quinn Bailey,T,DEN,0,0%,0,0%,4,16%
0,Andrew Wylie,G,KAN,78,100%,0,0%,4,16%
1,Creed Humphrey,C,KAN,78,100%,0,0%,4,16%
2,Trey Smith,G,KAN,78,100%,0,0%,4,16%
3,Joe Thuney,G,KAN,78,100%,0,0%,4,16%
4,Orlando Brown Jr.,T,KAN,78,100%,0,0%,4,16%
5,Patrick Mahomes,QB,KAN,78,100%,0,0%,0,0%
6,Mecole Hardman,WR,KAN,65,83%,0,0%,1,4%
7,Travis Kelce,TE,KAN,60,77%,0,0%,0,0%
8,Byron Pringle,WR,KAN,55,71%,0,0%,9,36%
9,Demarcus Robinson,WR,KAN,41,53%,0,0%,0,0%
10,Darrel Williams,RB,KAN,31,40%,0,0%,0,0%
11,Derrick Gore,RB,KAN,24,31%,0,0%,0,0%
12,Jerick McKinnon,RB,KAN,23,29%,0,0%,11,44%
13,Blake Bell,TE,KAN,21,27%,0,0%,9,36%
14,Josh Gordon,WR,KAN,21,27%,0,0%,0,0%
15,Noah Gray,TE,KAN,18,23%,0,0%,17,68%
16,Tyreek Hill,WR,KAN,14,18%,0,0%,0,0%
17,Marcus Kemp,WR,KAN,10,13%,0,0%,21,84%
18,Michael Burton,FB,KAN,6,8%,0,0%,13,52%
19,Nick Allegretti,G,KAN,1,1%,0,0%,4,16%
20,Tyrann Mathieu,SS,KAN,0,0%,54,100%,0,0%
