,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Paulson Adebo,NOR,1,17,0,17,2,0.0,5,3,2,0,0,0,0,0,0
1,Marcus Davenport,NOR,0,0,0,0,0,1.5,2,1,1,0,3,0,0,0,1
2,Cameron Jordan,NOR,0,0,0,0,2,1.0,2,1,1,1,1,0,0,0,0
3,David Onyemata,NOR,0,0,0,0,0,0.5,4,0,4,0,1,0,0,0,0
4,Demario Davis,NOR,0,0,0,0,0,0.0,5,5,0,0,1,0,0,0,0
5,Chauncey Gardner-Johnson,NOR,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
6,Kwon Alexander,NOR,0,0,0,0,0,0.0,3,2,1,0,1,1,8,0,1
7,Malcolm Roach,NOR,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
8,Shy Tuttle,NOR,0,0,0,0,0,0.0,3,0,3,0,0,1,0,0,0
9,Ken Crawley,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
10,Kaden Elliss,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Malcolm Jenkins,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
12,Marshon Lattimore,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Marcus Williams,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Andrew Dowell,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Carl Granderson,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,J.T. Gray,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Jeff Heath,NOR,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
18,Ty Montgomery,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Christian Ringo,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,KeiVarae Russell,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Alvin Kamara,NOR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,Foyesade Oluokun,ATL,0,0,0,0,0,0.0,13,7,6,0,0,0,0,0,0
25,Shawn Williams,ATL,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
26,Brandon Copeland,ATL,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
27,Deion Jones,ATL,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
28,AJ Terrell,ATL,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
29,Fabian Moreau,ATL,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
30,Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
31,Mykal Walker,ATL,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
32,Ta'Quon Graham,ATL,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
33,Duron Harmon,ATL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
34,Steven Means,ATL,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
35,Dante Fowler,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
36,Marlon Davidson,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Darren Hall,ATL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
38,Anthony Rush,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
39,Mike Davis,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Grady Jarrett,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Mike Pennel,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
42,Keith Smith,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Avery Williams,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Colby Gossett,ATL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
45,Jake Matthews,ATL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1
