,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Carlos Dunlap,SEA,0,0,0,0,1,2.0,4,3,1,2,3,0,0,0,0
1,Poona Ford,SEA,0,0,0,0,0,1.5,4,2,2,1,2,0,0,0,0
2,Kerry Hyder,SEA,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Darrell Taylor,SEA,0,0,0,0,1,0.5,2,1,1,0,1,0,0,0,0
4,Jordyn Brooks,SEA,0,0,0,0,0,0.0,20,15,5,2,0,0,0,0,0
5,Cody Barton,SEA,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
6,Josh Jones,SEA,0,0,0,0,1,0.0,10,6,4,0,0,0,0,0,0
7,Sidney Jones,SEA,0,0,0,0,2,0.0,6,3,3,0,0,0,0,0,0
8,D.J. Reed,SEA,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
9,Ugo Amadi,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Quandre Diggs,SEA,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
11,Rasheem Green,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
12,L.J. Collier,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
13,Jake Curhan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Travis Homer,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
15,Michael Jackson,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Josh Johnson,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Bryan Mone,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Robert Nkemdiche,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Cody Thompson,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
22,Jalen Thompson,ARI,1,33,0,33,2,0.0,6,4,2,0,0,0,0,0,0
23,Chandler Jones,ARI,0,0,0,0,0,1.0,2,1,1,0,2,0,0,0,1
24,Antonio Hamilton,ARI,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
25,Jordan Hicks,ARI,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0
26,Isaiah Simmons,ARI,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
27,Corey Peters,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
28,Zach Allen,ARI,0,0,0,0,0,0.0,3,2,1,0,2,1,16,1,0
29,Budda Baker,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
30,Breon Borders,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Markus Golden,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Devon Kennard,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
33,Byron Murphy,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
34,Michael Dogbe,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
35,Aaron Brewer,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Zaven Collins,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Darrell Daniels,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Leki Fotu,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Kevin Peterson,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Jonathan Ward,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Tahir Whitehead,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
42,Dennis Gardeck,ARI,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
43,Andy Lee,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,4,0,0
