,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Kyle Peko,TEN,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
1,Jeffery Simmons,TEN,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
2,Zach Cunningham,TEN,0,0,0,0,0,0.0,10,7,3,2,0,0,0,0,0
3,Elijah Molden,TEN,0,0,0,0,0,0.0,6,6,0,1,0,0,0,0,0
4,Kevin Byard,TEN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
5,David Long,TEN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
6,Harold Landry,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
7,Denico Autry,TEN,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
8,Bud Dupree,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Kristian Fulton,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Janoris Jenkins,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Matthias Farley,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
12,Amani Hooker,TEN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
13,Chris Jackson,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Dylan Cole,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Dane Cruikshank,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Nick Dzubnar,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Rashaan Evans,TEN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
19,Racey McMath,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Larrell Murchison,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Kevin Strong,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,D'Onta Foreman,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,3,0,0
23,Chester Rogers,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
26,Maliek Collins,HOU,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
27,Tavierre Thomas,HOU,0,0,0,0,0,0.0,9,6,3,0,1,0,0,0,0
28,Terrence Brooks,HOU,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
29,Christian Kirksey,HOU,0,0,0,0,1,0.0,8,4,4,2,0,0,0,0,0
30,Kamu Grugier-Hill,HOU,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
31,Neville Hewitt,HOU,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
32,Desmond King,HOU,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
33,Eric Murray,HOU,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
34,Lonnie Johnson Jr.,HOU,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
35,Roy Lopez,HOU,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
36,DeMarcus Walker,HOU,0,0,0,0,1,0.0,4,4,0,0,1,0,0,0,0
37,Royce Freeman,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
38,Ross Blacklock,HOU,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
39,Michael Dwumfour,HOU,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
40,Jordan Jenkins,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Jacob Martin,HOU,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
42,A.J. Moore,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Jimmy Moreland,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Tremon Smith,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
