,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Angelo Blackson,CHI,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
1,Bilal Nichols,CHI,0,0,0,0,0,0.5,5,3,2,0,3,0,0,0,0
2,Trevis Gipson,CHI,0,0,0,0,0,0.5,4,1,3,1,0,0,0,0,1
3,Mario Edwards,CHI,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
4,Robert Quinn,CHI,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
5,Roquan Smith,CHI,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
6,Eddie Jackson,CHI,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0
7,Deon Bush,CHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Alec Ogletree,CHI,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
9,Artie Burns,CHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
10,Tashaun Gipson,CHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
11,Khyiris Tonga,CHI,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
12,Margus Hunt,CHI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
13,Jaylon Johnson,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Thomas Graham,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Khalil Herbert,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Bruce Irvin,CHI,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
17,Sam Kamara,CHI,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0
18,Dazz Newsome,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Kindle Vildor,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Damien Williams,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Patrick Peterson,MIN,1,66,1,66,1,0.0,7,6,1,0,0,0,0,0,0
24,Blake Lynch,MIN,1,2,0,2,1,0.0,0,0,0,0,0,0,0,0,0
25,Anthony Barr,MIN,0,0,0,0,0,2.0,11,6,5,2,2,0,0,0,0
26,D.J. Wonnum,MIN,0,0,0,0,0,2.0,7,5,2,2,2,0,0,0,0
27,Kenny Willekes,MIN,0,0,0,0,1,2.0,3,2,1,2,3,0,0,0,0
28,Dalvin Tomlinson,MIN,0,0,0,0,0,1.0,6,4,2,2,1,0,0,0,0
29,Cameron Dantzler,MIN,0,0,0,0,1,0.0,9,8,1,0,0,0,0,0,0
30,Nick Vigil,MIN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
31,Xavier Woods,MIN,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
32,Josh Metellus,MIN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
33,Harrison Smith,MIN,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
34,Troy Dye,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
35,Armon Watts,MIN,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
36,Myles Dorn,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Ben Ellefson,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
38,James Lynch,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
39,T.Y. McGill,MIN,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0
40,Parry Nickerson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Sheldon Richardson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Tye Smith,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Luke Stocker,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Brian O'Neill,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
