,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Uchenna Nwosu,LAC,0,0,0,0,1,1.0,7,6,1,4,2,0,0,0,0
1,Justin Jones,LAC,0,0,0,0,0,1.0,3,3,0,0,1,0,0,0,0
2,Joey Bosa,LAC,0,0,0,0,0,1.0,2,2,0,0,0,0,0,0,1
3,Nasir Adderley,LAC,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,1
4,Derwin James,LAC,0,0,0,0,0,0.0,9,4,5,1,2,0,0,0,0
5,Kyzir White,LAC,0,0,0,0,0,0.0,7,2,5,0,1,0,0,0,0
6,Michael Davis,LAC,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
7,Alohi Gilman,LAC,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Kenneth Murray,LAC,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
9,Drue Tranquill,LAC,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
10,Asante Samuel Jr.,LAC,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
11,Christian Covington,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Kyler Fackrell,LAC,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0
13,Chris Harris Jr.,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
14,Justin Jackson,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,Linval Joseph,LAC,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
16,Nick Niemann,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
17,Jerry Tillery,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
18,Breiden Fehoko,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Tre' McKitty,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Casey Hayward,LVR,1,0,0,0,3,0.0,3,3,0,0,0,0,0,0,0
23,Maxx Crosby,LVR,0,0,0,0,3,2.0,7,6,1,3,4,0,0,0,0
24,Quinton Jefferson,LVR,0,0,0,0,1,0.5,2,0,2,0,3,0,0,0,0
25,Clelin Ferrell,LVR,0,0,0,0,0,0.5,1,0,1,0,3,0,0,0,0
26,Denzel Perryman,LVR,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
27,Brandon Facyson,LVR,0,0,0,0,2,0.0,7,7,0,1,0,0,0,0,0
28,Nate Hobbs,LVR,0,0,0,0,1,0.0,7,5,2,1,0,0,0,0,0
29,Divine Deablo,LVR,0,0,0,0,0,0.0,6,3,3,0,0,1,0,0,0
30,K.J. Wright,LVR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
31,Trevon Moehrig,LVR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
32,Darius Philon,LVR,0,0,0,0,1,0.0,4,2,2,1,0,0,0,0,0
33,Desmond Trufant,LVR,0,0,0,0,4,0.0,4,4,0,0,0,0,0,0,0
34,Dallin Leavitt,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
35,Derek Carrier,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,William Compton,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Johnathan Hankins,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Tyron Johnson,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
39,Malcolm Koonce,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Roderic Teamer,LVR,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
41,Brandon Parker,LVR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
