,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Brandon Allen,CIN,15,29,136,1,0,4,33,26,76.2,1,3,0,3,0,0,0,0,0,1,0
1,Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,9,38,0,10,2,1,4,0,4,0,0
2,Chris Evans,CIN,0,0,0,0,0,0,0,0,,7,35,0,12,5,4,24,1,12,0,0
3,Stanley Morgan Jr.,CIN,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,8,0,8,0,0
4,Trent Taylor,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,0,26,0,0
5,Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,26,0,24,0,0
6,Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,8,0,0
7,Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,0
8,Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
9,Mike Thomas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
12,Case Keenum,CLE,17,24,176,2,1,1,5,26,102.1,5,15,0,10,0,0,0,0,0,1,1
13,D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,25,123,1,13,1,1,10,0,10,0,0
14,Nick Chubb,CLE,0,0,0,0,0,0,0,0,,9,58,0,35,1,1,2,0,2,0,0
15,Demetric Felton,CLE,0,0,0,0,0,0,0,0,,1,6,0,6,2,2,18,1,10,0,0
16,Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,1,3,0,3,3,1,13,0,13,0,0
17,Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,75,1,26,0,0
18,Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,22,1,0
19,David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
20,Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
