,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Ben Roethlisberger,PIT,30,44,244,1,1,1,9,25,80.1,3,-4,0,-1,0,0,0,0,0,0,0
1,Chase Claypool,PIT,0,0,0,0,0,0,0,0,,3,33,0,17,7,5,37,1,10,0,0
2,Najee Harris,PIT,0,0,0,0,0,0,0,0,,11,28,0,15,4,4,27,0,11,0,0
3,Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,12,22,0,9,0,0,0,0,0,0,0
4,Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,53,0,14,0,0
5,Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,51,0,16,0,0
6,Zach Gentry,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,25,0,0
7,Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,37,0,20,0,0
8,Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
11,Tyler Huntley,BAL,16,31,141,0,2,3,9,28,37.2,12,72,0,21,0,0,0,0,0,1,1
12,Sam Koch,BAL,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
13,Latavius Murray,BAL,0,0,0,0,0,0,0,0,,16,150,1,46,0,0,0,0,0,0,0
14,Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,5,21,0,22,2,2,6,0,5,0,0
15,Ty'Son Williams,BAL,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
16,Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
17,Mark Andrews,BAL,0,0,0,0,0,0,0,0,,1,0,0,0,15,8,85,0,28,0,0
18,Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,27,0,11,0,0
19,Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,19,0,0
20,Josh Oliver,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
21,Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
22,Sammy Watkins,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
