,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Sam Darnold,CAR,29,42,219,2,1,2,12,20,87.3,8,19,0,6,0,0,0,0,0,1,1
1,Brandon Zylstra,CAR,0,1,0,0,0,0,0,0,39.6,0,0,0,0,2,0,0,0,0,0,0
2,Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,9,48,0,19,2,2,8,1,6,0,0
3,Ameer Abdullah,CAR,0,0,0,0,0,0,0,0,,7,26,0,10,11,9,56,0,18,0,0
4,D.J. Moore,CAR,0,0,0,0,0,0,0,0,,1,13,0,13,10,7,87,0,20,0,0
5,Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,1,4,0,4,5,2,7,0,6,0,0
6,Robby Anderson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,50,1,19,0,0
7,C.J. Saunders,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,0,0
8,Keith Kirkwood,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
11,Tom Brady,TAM,29,37,326,3,0,1,2,42,130.4,0,0,0,0,0,0,0,0,0,0,0
12,Blaine Gabbert,TAM,0,2,0,0,0,0,0,0,39.6,1,-1,0,-1,0,0,0,0,0,0,0
13,Scott Miller,TAM,0,0,0,0,0,0,0,0,,2,43,1,33,1,1,9,0,9,0,0
14,Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,10,29,1,9,2,2,12,0,7,0,0
15,Le'Veon Bell,TAM,0,0,0,0,0,0,0,0,,3,14,0,7,1,1,1,1,1,0,0
16,Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,137,0,42,0,0
17,Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,89,2,37,0,0
18,Breshad Perriman,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,0,24,0,0
19,Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,22,0,7,0,0
20,Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0
21,Jaelon Darden,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
22,Kenjon Barner,TAM,0,0,0,0,0,0,0,0,,4,0,0,1,0,0,0,0,0,0,0
