,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Alvin Kamara,NOR,30,146,7,76,2.5,70,2.3,4,7.5
1,Tony Jones,NOR,7,22,,16,2.3,6,0.9,0,
2,Taysom Hill,NOR,5,18,2,13,2.6,5,1.0,0,
3,Trevor Siemian,NOR,2,-1,0,-1,-0.5,0,0.0,0,
4,Deonte Harris,NOR,1,9,0,8,8.0,1,1.0,0,
5,Adam Prentice,NOR,1,1,1,0,0.0,1,1.0,0,
7,Mike Davis,ATL,6,30,1,20,3.3,10,1.7,1,6.0
8,Cordarrelle Patterson,ATL,4,11,1,7,1.8,4,1.0,0,
9,Qadree Ollison,ATL,1,19,1,9,9.0,10,10.0,1,1.0
10,Matt Ryan,ATL,1,2,0,2,2.0,0,0.0,0,
