,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Kaleb McGary,T,ATL,50,100%,0,0%,4,15%
1,Jake Matthews,T,ATL,50,100%,0,0%,4,15%
2,Chris Lindstrom,G,ATL,50,100%,0,0%,4,15%
3,Colby Gossett,G,ATL,50,100%,0,0%,4,15%
4,Matt Ryan,QB,ATL,50,100%,0,0%,0,0%
5,Matt Hennessy,C,ATL,50,100%,0,0%,0,0%
6,Russell Gage,WR,ATL,45,90%,0,0%,0,0%
7,Olamide Zaccheaus,WR,ATL,39,78%,0,0%,7,26%
8,Tajae Sharpe,WR,ATL,38,76%,0,0%,0,0%
9,Kyle Pitts,TE,ATL,37,74%,0,0%,0,0%
10,Cordarrelle Patterson,RB,ATL,18,36%,0,0%,1,4%
11,Mike Davis,RB,ATL,18,36%,0,0%,0,0%
12,Qadree Ollison,RB,ATL,16,32%,0,0%,7,26%
13,Hayden Hurst,TE,ATL,12,24%,0,0%,0,0%
14,Parker Hesse,TE,ATL,11,22%,0,0%,12,44%
15,Keith Smith,FB,ATL,9,18%,0,0%,16,59%
16,Lee Smith,TE,ATL,4,8%,0,0%,4,15%
17,Christian Blake,WR,ATL,3,6%,0,0%,14,52%
18,Fabian Moreau,CB,ATL,0,0%,72,100%,0,0%
19,Foyesade Oluokun,LB,ATL,0,0%,72,100%,0,0%
20,Deion Jones,LB,ATL,0,0%,72,100%,0,0%
21,Duron Harmon,SS,ATL,0,0%,71,99%,2,7%
22,AJ Terrell,CB,ATL,0,0%,70,97%,7,26%
23,Shawn Williams,SS,ATL,0,0%,65,90%,12,44%
24,Steven Means,LB,ATL,0,0%,53,74%,9,33%
25,Grady Jarrett,DT,ATL,0,0%,52,72%,0,0%
26,Adetokunbo Ogundeji,LB,ATL,0,0%,36,50%,11,41%
27,Mike Pennel,NT,ATL,0,0%,34,47%,0,0%
28,Ta'Quon Graham,DE,ATL,0,0%,31,43%,7,26%
29,Brandon Copeland,LB,ATL,0,0%,28,39%,2,7%
30,Dante Fowler,LB,ATL,0,0%,27,38%,0,0%
31,Marlon Davidson,DT,ATL,0,0%,26,36%,7,26%
32,Anthony Rush,DT,ATL,0,0%,26,36%,7,26%
33,Richie Grant,SS,ATL,0,0%,22,31%,23,85%
34,Mykal Walker,LB,ATL,0,0%,18,25%,16,59%
35,Darren Hall,CB,ATL,0,0%,16,22%,7,26%
36,Jaylinn Hawkins,FS,ATL,0,0%,1,1%,16,59%
37,Avery Williams,CB,ATL,0,0%,0,0%,23,85%
38,Daren Bates,LB,ATL,0,0%,0,0%,21,78%
39,Kendall Sheffield,CB,ATL,0,0%,0,0%,11,41%
40,Younghoe Koo,K,ATL,0,0%,0,0%,9,33%
41,Josh Harris,LS,ATL,0,0%,0,0%,6,22%
42,Austin Trammell,WR,ATL,0,0%,0,0%,6,22%
