,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Michael Deiter,C,MIA,68,100%,0,0%,5,17%
1,Austin Jackson,T,MIA,68,100%,0,0%,5,17%
2,Robert Hunt,G,MIA,68,100%,0,0%,5,17%
3,Tua Tagovailoa,QB,MIA,68,100%,0,0%,0,0%
4,Liam Eichenberg,T,MIA,68,100%,0,0%,0,0%
5,Robert Jones,G,MIA,62,91%,0,0%,0,0%
6,Jaylen Waddle,WR,MIA,61,90%,0,0%,0,0%
7,DeVante Parker,WR,MIA,49,72%,0,0%,0,0%
8,Durham Smythe,TE,MIA,47,69%,0,0%,15,52%
9,Duke Johnson,RB,MIA,43,63%,0,0%,0,0%
10,Mike Gesicki,TE,MIA,39,57%,0,0%,0,0%
11,Adam Shaheen,TE,MIA,33,49%,0,0%,5,17%
12,Albert Wilson,WR,MIA,24,35%,0,0%,0,0%
13,Phillip Lindsay,RB,MIA,15,22%,0,0%,5,17%
14,Isaiah Ford,WR,MIA,9,13%,0,0%,0,0%
15,Mack Hollins,WR,MIA,7,10%,0,0%,17,59%
16,Jesse Davis,T,MIA,7,10%,0,0%,5,17%
17,Myles Gaskin,RB,MIA,7,10%,0,0%,0,0%
18,Cethan Carter,TE,MIA,4,6%,0,0%,17,59%
19,Christian Wilkins,DT,MIA,1,1%,45,72%,12,42%
20,Jevon Holland,FS,MIA,0,0%,62,100%,13,45%
21,Jerome Baker,LB,MIA,0,0%,62,100%,0,0%
22,Xavien Howard,CB,MIA,0,0%,61,98%,0,0%
23,Byron Jones,CB,MIA,0,0%,60,97%,4,14%
24,Andrew Van Ginkel,LB,MIA,0,0%,49,79%,19,66%
25,Brandon Jones,SS,MIA,0,0%,48,77%,9,31%
26,Emmanuel Ogbah,DE,MIA,0,0%,40,64%,4,14%
27,Nik Needham,CB,MIA,0,0%,38,61%,8,28%
28,Zach Sieler,DT,MIA,0,0%,37,60%,12,42%
29,Elandon Roberts,LB,MIA,0,0%,37,60%,4,14%
30,Jaelan Phillips,LB,MIA,0,0%,35,56%,0,0%
31,Raekwon Davis,NT,MIA,0,0%,34,55%,3,10%
32,Adam Butler,DE,MIA,0,0%,23,37%,3,10%
33,Duke Riley,LB,MIA,0,0%,18,29%,17,59%
34,Eric Rowe,SS,MIA,0,0%,16,26%,0,0%
35,John Jenkins,NT,MIA,0,0%,7,11%,0,0%
36,Trill Williams,CB,MIA,0,0%,4,6%,15,52%
37,Brennan Scarlett,LB,MIA,0,0%,3,5%,24,83%
38,Clayton Fejedelem,SS,MIA,0,0%,2,3%,24,83%
39,Samuel Eguavoen,LB,MIA,0,0%,1,2%,17,59%
40,Justin Coleman,CB,MIA,0,0%,1,2%,7,24%
41,Jason Sanders,K,MIA,0,0%,0,0%,11,38%
42,Michael Palardy,P,MIA,0,0%,0,0%,11,38%
43,Blake Ferguson,LS,MIA,0,0%,0,0%,11,38%
44,Calvin Munson,LB,MIA,0,0%,0,0%,6,21%
45,Solomon Kindley,G,MIA,0,0%,0,0%,5,17%
0,Shaq Mason,G,NWE,62,100%,0,0%,4,14%
1,Mac Jones,QB,NWE,62,100%,0,0%,0,0%
2,Trent Brown,T,NWE,61,98%,0,0%,4,14%
3,David Andrews,C,NWE,60,97%,0,0%,0,0%
4,Nelson Agholor,WR,NWE,55,89%,0,0%,0,0%
5,Ted Karras,C,NWE,54,87%,0,0%,4,14%
6,Justin Herron,T,NWE,52,84%,0,0%,4,14%
7,Jakobi Meyers,WR,NWE,52,84%,0,0%,0,0%
8,Hunter Henry,TE,NWE,42,68%,0,0%,6,21%
9,Kendrick Bourne,WR,NWE,36,58%,0,0%,0,0%
10,Damien Harris,RB,NWE,30,48%,0,0%,0,0%
11,Brandon Bolden,RB,NWE,28,45%,0,0%,20,69%
12,Jonnu Smith,TE,NWE,25,40%,0,0%,0,0%
13,Michael Onwenu,G,NWE,18,29%,0,0%,4,14%
14,Jakob Johnson,FB,NWE,13,21%,0,0%,13,45%
15,N'Keal Harry,WR,NWE,12,19%,0,0%,0,0%
16,Isaiah Wynn,T,NWE,9,15%,0,0%,0,0%
17,Rhamondre Stevenson,RB,NWE,9,15%,0,0%,0,0%
18,Gunner Olszewski,WR,NWE,2,3%,0,0%,17,59%
19,Adrian Phillips,SS,NWE,0,0%,68,100%,12,41%
20,Devin McCourty,FS,NWE,0,0%,68,100%,7,24%
21,Kyle Van Noy,LB,NWE,0,0%,68,100%,0,0%
22,Jalen Mills,CB,NWE,0,0%,67,99%,7,24%
23,J.C. Jackson,CB,NWE,0,0%,61,90%,0,0%
24,Ja'Whaun Bentley,LB,NWE,0,0%,57,84%,3,10%
25,Matt Judon,LB,NWE,0,0%,54,79%,11,38%
26,D'Angelo Ross,CB,NWE,0,0%,46,68%,0,0%
27,Lawrence Guy,DT,NWE,0,0%,45,66%,11,38%
28,Deatrich Wise Jr.,DE,NWE,0,0%,45,66%,5,17%
29,Jamie Collins,LB,NWE,0,0%,44,65%,14,48%
30,Davon Godchaux,NT,NWE,0,0%,43,63%,5,17%
31,Christian Barmore,DT,NWE,0,0%,28,41%,0,0%
32,Joejuan Williams,CB,NWE,0,0%,16,24%,15,52%
33,Daniel Ekuale,DT,NWE,0,0%,15,22%,0,0%
34,Carl Davis,NT,NWE,0,0%,12,18%,0,0%
35,Josh Uche,LB,NWE,0,0%,5,7%,0,0%
36,Chase Winovich,DE,NWE,0,0%,3,4%,14,48%
37,Justin Bethel,FS,NWE,0,0%,1,1%,25,86%
38,Jahlani Tavai,LB,NWE,0,0%,1,1%,23,79%
39,Sean Davis,FS,NWE,0,0%,1,1%,0,0%
40,Matthew Slater,WR,NWE,0,0%,0,0%,24,83%
41,Cody Davis,FS,NWE,0,0%,0,0%,22,76%
42,Brandon King,LB,NWE,0,0%,0,0%,18,62%
43,Jake Bailey,P,NWE,0,0%,0,0%,12,41%
44,Joe Cardona,LS,NWE,0,0%,0,0%,7,24%
45,Yasir Durant,G,NWE,0,0%,0,0%,4,14%
46,Nick Folk,K,NWE,0,0%,0,0%,4,14%
