,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Saquon Barkley,NYG,13,57,1,23,1.8,34,2.6,1,13.0
1,Daniel Jones,NYG,9,95,4,90,10.0,5,0.6,1,9.0
2,Devontae Booker,NYG,2,9,,5,2.5,4,2.0,0,
3,Elijhaa Penny,NYG,2,5,2,3,1.5,2,1.0,0,
4,C.J. Board,NYG,1,6,,4,4.0,2,2.0,0,
5,Sterling Shepard,NYG,1,-9,0,-9,-9.0,0,0.0,1,1.0
7,Antonio Gibson,WAS,13,69,4,34,2.6,35,2.7,4,3.3
8,Taylor Heinicke,WAS,4,6,1,5,1.3,1,0.3,1,4.0
9,J.D. McKissic,WAS,4,10,3,10,2.5,0,0.0,0,
10,DeAndre Carter,WAS,1,2,,2,2.0,0,0.0,0,
