,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Tre'Davious White,BUF,0,8,4,50.0%,33,8.3,4.1,0,60.9,10.4,25,8,2,2,0,0.0,2,8,3,27.3%
1,Taron Johnson,BUF,0,6,3,50.0%,27,9.0,4.5,0,62.5,3.5,9,18,5,0,0,1.0,1,4,0,0.0%
2,Micah Hyde,BUF,0,4,3,75.0%,16,5.3,4.0,0,81.2,2.3,9,7,4,0,0,1.0,1,7,0,0.0%
3,Jordan Poyer,BUF,0,4,3,75.0%,34,11.3,8.5,0,100.0,8.0,23,11,0,0,0,0.0,0,4,0,0.0%
4,Dane Jackson,BUF,0,4,3,75.0%,13,4.3,3.3,0,78.1,3.5,9,4,0,0,0,0.0,0,5,1,16.7%
5,A.J. Klein,BUF,0,3,2,66.7%,12,6.0,4.0,0,74.3,1.0,3,9,1,0,1,0.0,1,6,3,33.3%
6,Tyrel Dodson,BUF,0,2,2,100.0%,9,4.5,4.5,0,85.4,0.5,1,8,0,0,0,0.0,0,3,0,0.0%
7,Tremaine Edmunds,BUF,0,3,2,66.7%,16,8.0,5.3,0,79.9,6.7,4,12,3,0,0,0.0,0,3,1,25.0%
8,Gregory Rousseau,BUF,0,1,1,100.0%,7,7.0,7.0,0,95.8,4.0,4,3,1,3,0,2.0,5,5,2,28.6%
9,Matt Milano,BUF,0,3,1,33.3%,6,6.0,2.0,0,42.4,0.0,2,4,5,0,1,1.0,2,5,2,28.6%
10,Levi Wallace,BUF,1,2,1,50.0%,9,9.0,4.5,0,22.9,6.0,9,0,0,0,0,0.0,0,2,0,0.0%
11,A.J. Epenesa,BUF,0,0,0,,,,,,,,,,1,1,2,0.0,3,1,2,66.7%
12,Justin Zimmer,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
13,Mario Addison,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
14,Jerry Hughes,BUF,0,0,0,,,,,,,,,,1,1,0,0.0,1,2,0,0.0%
15,Damar Hamlin,BUF,0,2,0,0.0%,,,0.0,,39.6,3.5,,,0,0,0,0.0,0,0,0,
16,Vernon Butler,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
17,Tyler Matakevich,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
19,Justin Coleman,MIA,0,6,5,83.3%,37,7.4,6.2,0,92.4,4.5,8,29,0,0,0,0.0,0,3,1,25.0%
20,Byron Jones,MIA,0,8,4,50.0%,61,15.3,7.6,0,75.5,14.3,47,14,0,0,0,0.0,0,3,0,0.0%
21,Xavien Howard,MIA,1,8,3,37.5%,53,17.7,6.6,1,60.9,12.8,48,5,2,0,0,0.0,0,2,0,0.0%
22,Jerome Baker,MIA,0,2,2,100.0%,8,4.0,4.0,0,83.3,-1.5,-3,11,3,0,0,0.0,0,3,1,25.0%
23,Andrew Van Ginkel,MIA,0,1,1,100.0%,9,9.0,9.0,0,104.2,0.0,0,9,2,0,1,0.5,2,4,0,0.0%
24,Jason McCourty,MIA,0,2,1,50.0%,8,8.0,4.0,1,100.0,6.5,8,0,0,0,0,0.0,0,3,1,25.0%
25,Brandon Jones,MIA,0,2,1,50.0%,3,3.0,1.5,0,56.2,3.0,-5,8,0,0,0,0.0,0,6,0,0.0%
26,Emmanuel Ogbah,MIA,0,0,0,,,,,,,,,,0,0,3,0.5,4,4,1,20.0%
27,Jevon Holland,MIA,0,0,0,,,,,,,,,,4,0,2,0.0,2,3,1,25.0%
28,Samuel Eguavoen,MIA,0,0,0,,,,,,,,,,1,0,1,0.0,1,1,0,0.0%
29,Jaelan Phillips,MIA,0,0,0,,,,,,,,,,2,0,0,0.0,0,3,0,0.0%
30,John Jenkins,MIA,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
31,Elandon Roberts,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,1,25.0%
32,Eric Rowe,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
33,Brennan Scarlett,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
34,Christian Wilkins,MIA,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,1,20.0%
