,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Justin Reid,HOU,1,24,0,24,1,0.0,4,4,0,0,0,0,0,0,1
1,Kamu Grugier-Hill,HOU,0,0,0,0,0,1.0,9,6,3,3,1,0,0,0,1
2,Jacob Martin,HOU,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Zach Cunningham,HOU,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
4,Christian Kirksey,HOU,0,0,0,0,0,0.0,6,4,2,1,0,1,-1,0,0
5,Vernon Hargreaves III,HOU,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,Eric Murray,HOU,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
7,Joe Thomas,HOU,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
8,Charles Omenihu,HOU,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
9,Tremon Smith,HOU,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
10,Terrance Mitchell,HOU,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Ross Blacklock,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Lonnie Johnson Jr.,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Whitney Mercilus,HOU,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
14,Terrence Brooks,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Maliek Collins,HOU,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
16,Neville Hewitt,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Jordan Jenkins,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Desmond King,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Joey Slye,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Tavierre Thomas,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Marcus Cannon,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,Malcolm Smith,CLE,1,0,0,0,1,0.0,8,5,3,1,0,0,0,0,0
25,Grant Delpit,CLE,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,1
26,Ronnie Harrison,CLE,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
27,Mack Wilson,CLE,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
28,Malik Jackson,CLE,0,0,0,0,0,0.0,5,0,5,0,0,0,0,0,0
29,John Johnson,CLE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Takkarist McKinley,CLE,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
31,Denzel Ward,CLE,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
32,Jadeveon Clowney,CLE,0,0,0,0,0,0.0,3,1,2,1,2,0,0,0,0
33,Myles Garrett,CLE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
34,Greg Newsome II,CLE,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
35,Jeremiah Owusu-Koramoah,CLE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
36,A.J. Green,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
37,Sione Takitaki,CLE,0,0,0,0,0,0.0,2,1,1,1,0,1,0,0,0
38,Jordan Elliott,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Demetric Felton,CLE,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
40,Troy Hill,CLE,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
41,Joe Jackson,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Elijah Lee,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Malik McDowell,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
