,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Trayvon Mullen,LVR,1,15,0,15,2,0.0,8,7,1,0,0,0,0,0,0
1,Solomon Thomas,LVR,0,0,0,0,1,2.0,2,2,0,1,2,0,0,0,0
2,Denzel Perryman,LVR,0,0,0,0,0,0.0,12,6,6,0,0,0,0,0,0
3,Johnathan Abram,LVR,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
4,Nate Hobbs,LVR,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
5,Dallin Leavitt,LVR,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
6,Cory Littleton,LVR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
7,Marquel Lee,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
8,Trevon Moehrig,LVR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
9,Derek Carrier,LVR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
10,Maxx Crosby,LVR,0,0,0,0,0,0.0,2,2,0,1,5,0,0,0,0
11,Casey Hayward,LVR,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0
12,K.J. Wright,LVR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
13,Tyree Gillespie,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Quinton Jefferson,LVR,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
15,Carl Nassib,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Amik Robertson,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Damon Arnette,LVR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
18,Derek Carr,LVR,0,0,0,0,0,0.0,0,0,0,0,0,1,-3,0,0
19,John Simpson,LVR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
22,Melvin Ingram,PIT,0,0,0,0,0,1.0,4,1,3,1,3,0,0,0,0
23,T.J. Watt,PIT,0,0,0,0,0,1.0,4,3,1,0,1,0,0,0,1
24,Robert Spillane,PIT,0,0,0,0,0,0.0,12,7,5,1,0,0,0,0,0
25,Joe Schobert,PIT,0,0,0,0,2,0.0,10,6,4,0,0,0,0,0,0
26,Cameron Heyward,PIT,0,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0
27,James Pierre,PIT,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
28,Terrell Edmunds,PIT,0,0,0,0,0,0.0,6,5,1,2,0,0,0,0,0
29,Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
30,Alex Highsmith,PIT,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
31,Cameron Sutton,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Jamir Jones,PIT,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
33,Justin Layne,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
35,Tre Norwood,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Chris Wormley,PIT,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
37,Ben Roethlisberger,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
