,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Davis Mills,HOU,8,18,102,1,1,1,7,35,58.1,2,-1,0,2,0,0,0,0,0,1,0
1,Tyrod Taylor,HOU,10,11,125,1,0,0,0,32,144.3,1,15,1,15,0,0,0,0,0,0,0
2,Mark Ingram,HOU,0,0,0,0,0,0,0,0,,14,41,0,8,2,1,-1,0,-1,0,0
3,David Johnson,HOU,0,0,0,0,0,0,0,0,,6,25,0,8,2,2,22,0,14,0,0
4,Phillip Lindsay,HOU,0,0,0,0,0,0,0,0,,5,2,0,5,1,1,22,1,22,0,0
5,Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,14,9,78,1,22,0,0
6,Andre Roberts,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,35,0,35,1,1
7,Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,32,0,32,0,0
8,Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
9,Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
10,Danny Amendola,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
11,Pharaoh Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
14,Baker Mayfield,CLE,19,21,213,1,1,2,14,33,105.0,8,10,1,5,0,0,0,0,0,1,0
15,Nick Chubb,CLE,0,0,0,0,0,0,0,0,,11,95,1,26,1,1,3,0,3,0,0
16,Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,13,51,0,13,1,1,2,0,2,0,0
17,Demetric Felton,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,51,1,33,1,0
18,Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,29,0,0
19,Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,40,0,13,0,0
20,Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,14,0,0
21,David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,11,0,0
22,Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,1,1
23,Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
24,Andy Janovich,CLE,0,0,0,0,0,0,0,0,,2,0,1,1,0,0,0,0,0,0,0
25,Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
