,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Matthew Stafford,LAR,19,30,278,2,1,1,8,44,101.8,2,1,0,5,0,0,0,0,0,0,0
1,Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,13,53,1,13,5,3,29,0,23,0,0
2,Sony Michel,LAR,0,0,0,0,0,0,0,0,,10,46,0,11,0,0,0,0,0,0,0
3,Robert Woods,LAR,0,0,0,0,0,0,0,0,,2,6,0,9,9,5,64,0,16,0,0
4,Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
5,Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
6,Johnny Hekker,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,1
7,Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,1,-5,0,-5,11,9,163,2,44,0,0
10,Carson Wentz,IND,20,31,247,1,1,3,27,42,86.4,5,37,0,14,0,0,0,0,0,0,0
11,Jacob Eason,IND,2,5,25,0,1,0,0,10,16.7,0,0,0,0,0,0,0,0,0,0,0
12,Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,15,51,0,13,1,1,2,0,2,0,0
13,Marlon Mack,IND,0,0,0,0,0,0,0,0,,5,16,0,6,1,0,0,0,0,0,0
14,Nyheim Hines,IND,0,0,0,0,0,0,0,0,,1,5,0,5,2,1,17,0,7,0,0
15,Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,123,0,42,0,0
16,Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,64,0,34,0,0
17,Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,38,1,9,0,0
18,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
19,Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
20,Mike Strachan,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
