,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Ryan Tannehill,TEN,27,40,347,0,0,3,27,51,94.5,4,27,0,19,0,0,0,0,0,1,1
1,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,35,182,3,60,6,6,55,0,15,0,0
2,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,26,0,12,0,0
3,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,128,0,51,0,0
4,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,43,0,15,0,0
5,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,0,22,0,0
6,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,22,0,12,0,0
7,Tommy Hudson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
8,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,5,0,0
9,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
12,Russell Wilson,SEA,22,31,343,2,0,3,23,68,128.8,3,16,0,12,0,0,0,0,0,0,0
13,Chris Carson,SEA,0,0,0,0,0,0,0,0,,13,31,2,8,0,0,0,0,0,0,0
14,Alex Collins,SEA,0,0,0,0,0,0,0,0,,1,25,0,25,0,0,0,0,0,0,0
15,Freddie Swain,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,5,5,95,1,68,0,0
16,Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,178,1,63,0,0
17,D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,53,0,16,0,0
18,Travis Homer,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,11,0,0
19,Gerald Everett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
