,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Brandin Cooks,HOU,14,9,78,1,4,54,6.0,24,2.7,12.2,0,,1,7.1,0,102.7
1,David Johnson,HOU,2,2,22,0,1,-6,-3.0,28,14.0,-3.0,0,,0,0.0,0,112.5
2,Danny Amendola,HOU,1,1,9,0,,4,4.0,5,5.0,4.0,0,,0,0.0,0,104.2
3,Andre Roberts,HOU,2,1,35,0,1,19,19.0,16,16.0,14.5,0,,0,0.0,1,56.2
4,Phillip Lindsay,HOU,1,1,22,1,1,-4,-4.0,26,26.0,-4.0,0,,0,0.0,0,158.3
5,Nico Collins,HOU,1,1,32,0,1,11,11.0,21,21.0,11.0,0,,0,0.0,0,118.7
6,Chris Conley,HOU,2,1,13,0,1,6,6.0,7,7.0,6.0,0,,0,0.0,0,70.8
7,Mark Ingram,HOU,2,1,-1,0,0,-1,-1.0,0,0.0,3.0,0,,0,0.0,0,56.2
8,Jordan Akins,HOU,2,1,17,0,1,10,10.0,7,7.0,12.0,0,,1,50.0,0,79.2
9,Pharaoh Brown,HOU,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
11,Austin Hooper,CLE,5,5,40,0,2,17,3.4,23,4.6,3.4,0,,0,0.0,0,100.0
12,Harrison Bryant,CLE,4,4,49,0,2,38,9.5,11,2.8,9.5,0,,0,0.0,0,117.7
13,Rashard Higgins,CLE,2,2,27,0,2,24,12.0,3,1.5,12.0,0,,0,0.0,0,118.7
14,Demetric Felton,CLE,2,2,51,1,2,-3,-1.5,54,27.0,-1.5,1,2.0,0,0.0,0,158.3
15,David Njoku,CLE,3,2,18,0,1,4,2.0,14,7.0,9.7,0,,0,0.0,0,82.6
16,Kareem Hunt,CLE,1,1,2,0,0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2
17,Jarvis Landry,CLE,1,1,9,0,1,-2,-2.0,11,11.0,-2.0,0,,0,0.0,0,104.2
18,Nick Chubb,CLE,1,1,3,0,0,-5,-5.0,8,8.0,-5.0,0,,0,0.0,0,79.2
19,Donovan Peoples-Jones,CLE,1,1,14,0,,15,15.0,-1,-1.0,15.0,0,,0,0.0,0,118.7
20,Anthony Schwartz,CLE,1,0,0,0,,0,,0,,16.0,0,,0,0.0,1,0.0
