,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Elijah Mitchell,SFO,17,42,3,37,2.2,5,0.3,0,
1,Jimmy Garoppolo,SFO,11,20,5,20,1.8,0,0.0,0,
2,Jamycal Hasty,SFO,5,38,2,31,6.2,7,1.4,1,5.0
3,Deebo Samuel,SFO,2,8,0,5,2.5,3,1.5,1,2.0
4,Trenton Cannon,SFO,1,-1,,-1,-1.0,0,0.0,0,
5,Kyle Juszczyk,SFO,1,2,0,2,2.0,0,0.0,0,
6,Trey Sermon,SFO,1,8,,5,5.0,3,3.0,0,
8,Miles Sanders,PHI,13,55,3,41,3.2,14,1.1,9,1.4
9,Jalen Hurts,PHI,10,82,5,81,8.1,1,0.1,1,10.0
10,Kenneth Gainwell,PHI,6,14,0,11,1.8,3,0.5,0,
