,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Joel Bitonio,G,CLE,61,100%,0,0%,5,20%
1,Jack Conklin,T,CLE,61,100%,0,0%,5,20%
2,Wyatt Teller,G,CLE,61,100%,0,0%,5,20%
3,Baker Mayfield,QB,CLE,61,100%,0,0%,0,0%
4,J.C. Tretter,C,CLE,61,100%,0,0%,0,0%
5,Donovan Peoples-Jones,WR,CLE,46,75%,0,0%,0,0%
6,Jedrick Wills Jr.,T,CLE,43,70%,0,0%,0,0%
7,Rashard Higgins,WR,CLE,43,70%,0,0%,0,0%
8,Austin Hooper,TE,CLE,42,69%,0,0%,0,0%
9,David Njoku,TE,CLE,36,59%,0,0%,0,0%
10,Nick Chubb,RB,CLE,35,57%,0,0%,0,0%
11,Harrison Bryant,TE,CLE,31,51%,0,0%,11,44%
12,Anthony Schwartz,WR,CLE,30,49%,0,0%,0,0%
13,Kareem Hunt,RB,CLE,23,38%,0,0%,0,0%
14,Blake Hance,G,CLE,18,30%,0,0%,5,20%
15,Andy Janovich,FB,CLE,11,18%,0,0%,13,52%
16,Demetric Felton,RB,CLE,3,5%,0,0%,16,64%
17,D'Ernest Johnson,RB,CLE,3,5%,0,0%,15,60%
18,Jarvis Landry,WR,CLE,2,3%,0,0%,0,0%
19,John Johnson,FS,CLE,0,0%,61,100%,8,32%
20,Greg Newsome II,CB,CLE,0,0%,60,98%,5,20%
21,Denzel Ward,CB,CLE,0,0%,60,98%,5,20%
22,Malcolm Smith,LB,CLE,0,0%,58,95%,7,28%
23,Ronnie Harrison,SS,CLE,0,0%,53,87%,0,0%
24,Myles Garrett,DE,CLE,0,0%,49,80%,3,12%
25,Jadeveon Clowney,DE,CLE,0,0%,46,75%,5,20%
26,Malik Jackson,DT,CLE,0,0%,46,75%,4,16%
27,Malik McDowell,DT,CLE,0,0%,37,61%,3,12%
28,Troy Hill,CB,CLE,0,0%,37,61%,3,12%
29,Takkarist McKinley,DE,CLE,0,0%,30,49%,2,8%
30,Grant Delpit,SS,CLE,0,0%,26,43%,13,52%
31,Mack Wilson,LB,CLE,0,0%,25,41%,11,44%
