,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Oday Aboushi,G,LAC,71,100%,0,0%,4,21%
1,Rashawn Slater,T,LAC,71,100%,0,0%,4,21%
2,Storm Norton,T,LAC,71,100%,0,0%,4,21%
3,Matt Feiler,G,LAC,71,100%,0,0%,4,21%
4,Justin Herbert,QB,LAC,71,100%,0,0%,0,0%
5,Corey Linsley,C,LAC,71,100%,0,0%,0,0%
6,Keenan Allen,WR,LAC,65,92%,0,0%,0,0%
7,Mike Williams,WR,LAC,54,76%,0,0%,0,0%
8,Jalen Guyton,WR,LAC,50,70%,0,0%,0,0%
9,Austin Ekeler,RB,LAC,45,63%,0,0%,0,0%
10,Jared Cook,TE,LAC,42,59%,0,0%,0,0%
11,Donald Parham,TE,LAC,34,48%,0,0%,4,21%
12,Josh Palmer,WR,LAC,18,25%,0,0%,0,0%
13,Justin Jackson,RB,LAC,16,23%,0,0%,10,53%
14,Stephen Anderson,TE,LAC,15,21%,0,0%,9,47%
15,Larry Rountree,RB,LAC,10,14%,0,0%,5,26%
16,Trey Pipkins,T,LAC,4,6%,0,0%,4,21%
17,Gabe Nabers,FB,LAC,2,3%,0,0%,11,58%
18,Nasir Adderley,FS,LAC,0,0%,62,100%,0,0%
19,Derwin James,FS,LAC,0,0%,62,100%,0,0%
20,Michael Davis,CB,LAC,0,0%,62,100%,0,0%
21,Asante Samuel Jr.,CB,LAC,0,0%,60,97%,5,26%
22,Jerry Tillery,DT,LAC,0,0%,53,85%,4,21%
23,Alohi Gilman,SS,LAC,0,0%,52,84%,15,79%
24,Joey Bosa,LB,LAC,0,0%,51,82%,0,0%
25,Kenneth Murray,LB,LAC,0,0%,49,79%,0,0%
26,Linval Joseph,NT,LAC,0,0%,47,76%,3,16%
27,Christian Covington,NT,LAC,0,0%,43,69%,4,21%
28,Kyzir White,LB,LAC,0,0%,40,65%,0,0%
29,Uchenna Nwosu,LB,LAC,0,0%,30,48%,0,0%
30,Kyler Fackrell,LB,LAC,0,0%,28,45%,5,26%
31,Drue Tranquill,LB,LAC,0,0%,11,18%,9,47%
32,Joe Gaziano,DE,LAC,0,0%,11,18%,1,5%
33,Eric Banks,DT,LAC,0,0%,7,11%,4,21%
34,Chris Rumph,LB,LAC,0,0%,6,10%,11,58%
35,Kemon Hall,CB,LAC,0,0%,5,8%,11,58%
36,Tevaughn Campbell,CB,LAC,0,0%,2,3%,14,74%
37,Trey Marshall,SS,LAC,0,0%,1,2%,6,32%
38,Nick Niemann,LB,LAC,0,0%,0,0%,15,79%
39,Mark Webb,FS,LAC,0,0%,0,0%,13,68%
40,Tristan Vizcaino,K,LAC,0,0%,0,0%,9,47%
41,Amen Ogbongbemiga,LB,LAC,0,0%,0,0%,6,32%
42,Ty Long,P,LAC,0,0%,0,0%,5,26%
43,Matt Overton,LS,LAC,0,0%,0,0%,5,26%
44,Scott Quessenberry,C,LAC,0,0%,0,0%,4,21%
45,K.J. Hill,WR,LAC,0,0%,0,0%,1,5%
0,Zack Martin,G,DAL,62,100%,0,0%,4,21%
1,Tyler Biadasz,C,DAL,62,100%,0,0%,4,21%
2,Tyron Smith,T,DAL,62,100%,0,0%,4,21%
3,Terence Steele,T,DAL,62,100%,0,0%,4,21%
4,Dak Prescott,QB,DAL,62,100%,0,0%,0,0%
5,Connor Williams,G,DAL,62,100%,0,0%,0,0%
6,CeeDee Lamb,WR,DAL,60,97%,0,0%,1,5%
7,Amari Cooper,WR,DAL,60,97%,0,0%,0,0%
8,Dalton Schultz,TE,DAL,45,73%,0,0%,4,21%
9,Ezekiel Elliott,RB,DAL,44,71%,0,0%,0,0%
10,Cedrick Wilson Jr.,WR,DAL,36,58%,0,0%,2,11%
11,Blake Jarwin,TE,DAL,29,47%,0,0%,0,0%
12,Tony Pollard,RB,DAL,21,34%,0,0%,6,32%
13,Noah Brown,WR,DAL,12,19%,0,0%,10,53%
