,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jared Goff,DET,26,36,246,2,1,1,10,46,97.7,4,46,0,26,0,0,0,0,0,2,1
1,D'Andre Swift,DET,0,0,0,0,0,0,0,0,,8,37,0,12,5,4,41,0,16,0,0
2,Jamaal Williams,DET,0,0,0,0,0,0,0,0,,7,25,0,8,3,3,12,0,6,0,0
3,T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,66,1,20,0,0
4,Quintez Cephus,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,63,1,46,0,0
5,Trinity Benson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0
6,Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,10,0,0
7,Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,18,0,7,0,0
8,Jason Cabinda,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
11,Aaron Rodgers,GNB,22,27,255,4,0,3,28,50,145.6,4,6,0,5,0,0,0,0,0,0,0
12,Aaron Jones,GNB,0,0,0,0,0,0,0,0,,17,67,1,9,6,6,48,3,13,0,0
13,AJ Dillon,GNB,0,0,0,0,0,0,0,0,,5,18,0,8,1,1,8,0,8,0,0
14,Kylin Hill,GNB,0,0,0,0,0,0,0,0,,2,8,0,5,0,0,0,0,0,0,0
15,Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,121,0,50,0,0
16,Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,52,1,22,0,0
17,Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,14,0,0
18,Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
19,Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
20,Jordan Love,GNB,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0
