,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Chuba Hubbard,CAR,11,52,3,29,2.6,23,2.1,2,5.5
1,Sam Darnold,CAR,8,11,4,3,0.4,8,1.0,2,4.0
2,Christian McCaffrey,CAR,7,31,1,3,0.4,28,4.0,3,2.3
3,Royce Freeman,CAR,5,17,1,14,2.8,3,0.6,0,
4,D.J. Moore,CAR,1,-1,0,-1,-1.0,0,0.0,0,
5,Tommy Tremble,CAR,1,7,1,7,7.0,0,0.0,0,
7,Phillip Lindsay,HOU,7,5,1,1,0.1,4,0.6,0,
8,Mark Ingram,HOU,6,21,1,7,1.2,14,2.3,0,
9,David Johnson,HOU,2,11,,5,2.5,6,3.0,0,
10,Brandin Cooks,HOU,1,5,0,3,3.0,2,2.0,0,
11,Davis Mills,HOU,1,0,0,0,0.0,0,0.0,0,
