,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Bryan Cox Jr.,,,0,0,,,,,,,,,,0,1,0,,1,,0,
1,Kendall Fuller,WAS,0,9,8,88.9%,104,13.0,11.6,0,114.8,8.9,69,35,2,0,0,0.0,0,10,0,0.0%
2,Cole Holcomb,WAS,0,7,7,100.0%,70,10.0,10.0,2,147.9,4.1,29,41,1,0,0,0.0,0,15,1,6.3%
3,Benjamin St-Juste,WAS,0,8,4,50.0%,46,11.5,5.8,0,67.7,17.3,38,8,0,0,0,0.0,0,7,0,0.0%
4,Jonathan Bostic,WAS,0,5,4,80.0%,55,13.8,11.0,0,112.5,10.0,33,22,1,0,0,0.0,0,6,1,14.3%
5,Jamin Davis,WAS,0,3,3,100.0%,24,8.0,8.0,0,100.0,4.0,12,12,0,1,0,0.0,1,6,1,14.3%
6,Landon Collins,WAS,0,3,2,66.7%,29,14.5,9.7,1,137.5,9.3,29,0,0,0,0,0.0,0,8,0,0.0%
7,Bobby McCain,WAS,0,2,2,100.0%,13,6.5,6.5,0,93.7,6.0,12,1,0,0,0,0.0,0,2,1,33.3%
8,Chase Young,WAS,0,1,1,100.0%,10,10.0,10.0,0,108.3,5.0,5,5,0,3,1,0.0,4,3,0,0.0%
9,Kamren Curl,WAS,0,3,1,33.3%,5,5.0,1.7,1,81.9,3.7,5,0,1,0,1,0.0,1,9,0,0.0%
10,William Jackson III,WAS,0,3,1,33.3%,3,3.0,1.0,0,42.4,14.0,1,2,0,0,0,0.0,0,1,0,0.0%
11,Daron Payne,WAS,0,0,0,,,,,,,,,,0,5,2,0.0,7,2,1,33.3%
12,Jonathan Allen,WAS,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%
13,Daniel Wise,WAS,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
14,Montez Sweat,WAS,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
15,Tim Settle,WAS,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
17,Tremaine Edmunds,BUF,0,4,3,75.0%,26,8.7,6.5,0,91.7,2.0,5,21,2,1,0,0.0,1,8,3,27.3%
18,Micah Hyde,BUF,1,5,3,60.0%,26,8.7,5.2,1,73.7,9.2,20,6,0,0,0,0.0,0,5,1,16.7%
19,Tre'Davious White,BUF,0,5,3,60.0%,52,17.3,10.4,0,95.4,7.8,25,27,0,0,0,0.0,0,3,2,40.0%
20,Matt Milano,BUF,0,3,2,66.7%,22,11.0,7.3,0,88.2,6.3,13,9,0,0,1,0.0,1,7,1,12.5%
21,Levi Wallace,BUF,0,2,1,50.0%,15,15.0,7.5,0,75.0,25.0,9,6,0,0,0,0.0,0,2,0,0.0%
22,Vernon Butler,BUF,0,1,1,100.0%,73,73.0,73.0,1,158.3,-4.0,-4,77,0,0,0,0.0,0,1,0,0.0%
23,Justin Zimmer,BUF,0,0,0,,,,,,,,,,0,2,1,0.0,3,1,0,0.0%
24,A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%
25,Mario Addison,BUF,0,0,0,,,,,,,,,,0,2,0,0.0,2,0,0,
26,Gregory Rousseau,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%
27,Star Lotulelei,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
28,Jerry Hughes,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,1,100.0%
29,Jordan Poyer,BUF,1,1,0,0.0%,,,0.0,,0.0,4.0,,,1,0,0,0.0,0,2,1,33.3%
30,Taron Johnson,BUF,0,2,0,0.0%,,,0.0,,39.6,3.5,,,1,0,0,0.0,0,4,2,33.3%
