,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Demario Davis,NOR,0,9,6,66.7%,16,2.7,1.8,0,70.1,6.2,15,1,6,0,0,0.0,0,8,0,0.0%
1,Marshon Lattimore,NOR,1,10,5,50.0%,69,13.8,6.9,0,32.9,20.9,57,12,1,0,1,0.0,1,10,0,0.0%
2,Kaden Elliss,NOR,0,4,4,100.0%,61,15.3,15.3,0,118.7,5.3,21,40,6,1,1,0.0,2,4,2,33.3%
3,Malcolm Jenkins,NOR,1,9,4,44.4%,27,6.8,3.0,0,12.0,10.6,20,7,2,0,0,0.0,0,7,1,12.5%
4,Paulson Adebo,NOR,0,6,4,66.7%,53,13.3,8.8,1,134.0,16.3,41,12,0,0,0,0.0,0,5,1,16.7%
5,Chauncey Gardner-Johnson,NOR,0,7,3,42.9%,22,7.3,3.1,0,50.9,15.3,15,7,1,0,0,1.0,1,5,0,0.0%
6,P.J. Williams,NOR,1,3,2,66.7%,13,6.5,4.3,0,36.1,5.3,5,8,2,0,0,0.0,0,3,1,25.0%
7,Marcus Williams,NOR,0,2,1,50.0%,6,6.0,3.0,0,56.2,13.0,6,0,0,0,0,0.0,0,2,0,0.0%
8,Pete Werner,NOR,0,2,1,50.0%,3,3.0,1.5,0,56.2,4.0,3,0,1,0,0,0.0,0,2,0,0.0%
9,Cameron Jordan,NOR,0,0,0,,,,,,,,,,0,0,3,0.0,3,3,0,0.0%
10,Carl Granderson,NOR,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,0,
11,Zack Baun,NOR,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
12,Shy Tuttle,NOR,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
13,Tanoh Kpassagnon,NOR,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
15,Jonathan Jones,NWE,0,4,3,75.0%,23,7.7,5.8,1,128.1,5.8,10,13,0,0,0,0.0,0,3,0,0.0%
16,J.C. Jackson,NWE,0,3,3,100.0%,34,11.3,11.3,0,113.9,6.3,19,15,0,0,0,0.0,0,5,0,0.0%
17,Ja'Whaun Bentley,NWE,0,3,2,66.7%,21,10.5,7.0,0,86.8,7.7,19,2,0,0,0,0.0,0,7,0,0.0%
18,Chase Winovich,NWE,0,1,1,100.0%,6,6.0,6.0,0,91.7,5.0,5,1,1,0,1,0.0,1,1,0,0.0%
19,Dont'a Hightower,NWE,0,1,1,100.0%,9,9.0,9.0,0,104.2,0.0,0,9,2,0,0,0.0,0,2,2,50.0%
20,Jalen Mills,NWE,0,3,1,33.3%,12,12.0,4.0,0,46.5,19.3,12,0,0,0,0,0.0,0,4,0,0.0%
21,Adrian Phillips,NWE,0,2,1,50.0%,12,12.0,6.0,0,68.7,7.5,12,0,0,0,0,0.0,0,5,1,16.7%
22,Kyle Van Noy,NWE,0,1,1,100.0%,11,11.0,11.0,1,152.1,5.0,5,6,1,0,0,0.0,0,4,0,0.0%
23,Matt Judon,NWE,0,0,0,,,,,,,,,,1,0,0,2.5,3,3,1,25.0%
24,Davon Godchaux,NWE,0,0,0,,,,,,,,,,0,0,1,0.0,1,5,0,0.0%
25,Kyle Dugger,NWE,0,1,0,0.0%,,,0.0,,39.6,25.0,,,0,0,1,0.0,1,4,0,0.0%
26,Deatrich Wise Jr.,NWE,0,0,0,,,,,,,,,,0,0,0,0.5,1,6,0,0.0%
27,Lawrence Guy,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%
28,Devin McCourty,NWE,0,1,0,0.0%,,,0.0,,39.6,37.0,,,1,0,0,0.0,0,2,0,0.0%
29,Cody Davis,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
