,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Khalil Mack,CHI,0,0,0,0,0,2.0,2,2,0,2,2,0,0,0,0
1,Mario Edwards,CHI,0,0,0,0,0,1.5,3,2,1,1,2,0,0,0,0
2,Robert Quinn,CHI,0,0,0,0,0,1.0,2,0,2,0,2,0,0,0,0
3,Angelo Blackson,CHI,0,0,0,0,0,0.5,5,2,3,0,1,0,0,0,0
4,Roquan Smith,CHI,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
5,Deon Bush,CHI,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
6,Eddie Jackson,CHI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
7,Bilal Nichols,CHI,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
8,Duke Shelley,CHI,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
9,Khyiris Tonga,CHI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
10,Alec Ogletree,CHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
11,Kindle Vildor,CHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
12,Akiem Hicks,CHI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
13,DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
14,Margus Hunt,CHI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
15,Jaylon Johnson,CHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
16,Nsimba Webster,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
17,Christian Jones,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
18,Damien Williams,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
19,Jeremiah Attaochu,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Trevis Gipson,CHI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
21,Khalil Herbert,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Joel Iyiegbuniwe,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Caleb Johnson,CHI,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
26,Myles Garrett,CLE,0,0,0,0,0,4.5,7,6,1,4,6,0,0,0,0
27,Jadeveon Clowney,CLE,0,0,0,0,0,2.0,3,2,1,2,5,0,0,0,0
28,Ronnie Harrison,CLE,0,0,0,0,1,1.0,3,2,1,1,1,0,0,0,0
29,Jeremiah Owusu-Koramoah,CLE,0,0,0,0,2,0.5,4,3,1,1,1,0,0,0,0
30,Malik Jackson,CLE,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
31,Takkarist McKinley,CLE,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
32,Greg Newsome II,CLE,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
33,Denzel Ward,CLE,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
34,Troy Hill,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Elijah Lee,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Malcolm Smith,CLE,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
37,M.J. Stewart,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Harrison Bryant,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Grant Delpit,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Tony Fields,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,A.J. Green,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,John Johnson,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Malik McDowell,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Greedy Williams,CLE,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
