,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Quinnen Williams,NYJ,0,0,0,0,0,1.5,4,3,1,1,2,0,0,0,0
1,Bryce Huff,NYJ,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
2,C.J. Mosley,NYJ,0,0,0,0,0,0.0,10,4,6,0,0,0,0,0,0
3,Marcus Maye,NYJ,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
4,Michael Carter,NYJ,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
5,Quincy Williams,NYJ,0,0,0,0,0,0.0,6,6,0,2,0,0,0,0,1
6,Adrian Colbert,NYJ,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
7,Brandin Echols,NYJ,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
8,John Franklin-Myers,NYJ,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
9,Bryce Hall,NYJ,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
10,Folorunso Fatukasi,NYJ,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
11,Javelin Guidry,NYJ,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
12,Jamien Sherwood,NYJ,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,Jarrod Wilson,NYJ,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
14,Shaq Lawson,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Hamsah Nasirildeen,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Nathan Shepherd,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Tim Ward,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Del'Shawn Phillips,NYJ,0,0,0,0,0,0.0,0,0,0,0,0,1,34,0,0
19,Sheldon Rankins,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
22,Justin Simmons,DEN,1,35,0,35,1,0.0,2,1,1,0,0,0,0,0,0
23,Caden Sterns,DEN,1,46,0,46,1,0.0,2,2,0,0,0,0,0,0,0
24,Alexander Johnson,DEN,0,0,0,0,1,2.0,5,5,0,2,2,0,0,0,0
25,Malik Reed,DEN,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
26,Von Miller,DEN,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
27,Shelby Harris,DEN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
28,Patrick Surtain II,DEN,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
29,Justin Strnad,DEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Kyle Fuller,DEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Shamar Stephen,DEN,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
32,Kareem Jackson,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Bryce Callahan,DEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
34,Jonathon Cooper,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
35,Dre'Mont Jones,DEN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
36,Andre Mintze,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Mike Purcell,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Eric Saubert,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Nate Hairston,DEN,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
40,DeShawn Williams,DEN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
