,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Byron Murphy,ARI,2,36,1,29,2,0.0,4,3,1,0,0,0,0,0,0
1,Jordan Hicks,ARI,0,0,0,0,1,1.0,12,7,5,0,1,0,0,0,1
2,Markus Golden,ARI,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
3,Jalen Thompson,ARI,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
4,Budda Baker,ARI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
5,Isaiah Simmons,ARI,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,1
6,Marco Wilson,ARI,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,1
7,Robert Alford,ARI,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
8,Chandler Jones,ARI,0,0,0,0,0,0.0,3,3,0,1,4,1,1,0,0
9,Devon Kennard,ARI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
10,Zach Allen,ARI,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0
11,Zaven Collins,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Corey Peters,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,J.J. Watt,ARI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
14,Darrell Daniels,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Michael Dogbe,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
17,Demetrius Harris,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Zeke Turner,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Andrew Wingard,JAX,1,23,0,23,1,0.0,7,4,3,0,0,0,0,0,0
22,Myles Jack,JAX,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
23,Damien Wilson,JAX,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
24,Tyson Campbell,JAX,0,0,0,0,1,0.0,8,6,2,0,0,0,0,0,0
25,Shaquill Griffin,JAX,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
26,Chris Claybrooks,JAX,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
27,Adam Gotsis,JAX,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
28,K'Lavon Chaisson,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
29,Rudy Ford,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
30,Malcom Brown,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
31,Taven Bryan,JAX,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
32,Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Dawuane Smoot,JAX,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
34,Jihad Ward,JAX,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0
35,Josh Allen,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
36,Logan Cooke,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Phillip Dorsett,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,DaVon Hamilton,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Laviska Shenault Jr.,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
