,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Marshon Lattimore,NOR,1,20,0,20,1,0.0,10,8,2,0,0,0,0,0,0
1,Malcolm Jenkins,NOR,1,34,1,34,2,0.0,7,5,2,0,0,0,0,0,0
2,P.J. Williams,NOR,1,46,0,46,1,0.0,3,2,1,0,1,0,0,0,0
3,Chauncey Gardner-Johnson,NOR,0,0,0,0,1,1.0,5,4,1,2,1,0,0,0,0
4,Tanoh Kpassagnon,NOR,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
5,Demario Davis,NOR,0,0,0,0,2,0.0,8,7,1,2,0,0,0,0,0
6,Paulson Adebo,NOR,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
7,Kaden Elliss,NOR,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
8,Cameron Jordan,NOR,0,0,0,0,1,0.0,3,3,0,1,3,0,0,0,0
9,Shy Tuttle,NOR,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
10,Pete Werner,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Marcus Williams,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
12,Montravius Adams,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
13,Alex Armah,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Zack Baun,NOR,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
15,Andrew Dowell,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,J.T. Gray,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Christian Ringo,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Carl Granderson,NOR,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
21,Matt Judon,NWE,0,0,0,0,0,2.5,3,2,1,2,3,0,0,0,0
22,Deatrich Wise Jr.,NWE,0,0,0,0,0,0.5,6,5,1,1,1,0,0,0,0
23,Ja'Whaun Bentley,NWE,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
24,Davon Godchaux,NWE,0,0,0,0,0,0.0,5,4,1,0,1,0,0,0,0
25,Lawrence Guy,NWE,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
26,J.C. Jackson,NWE,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
27,Adrian Phillips,NWE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
28,Kyle Dugger,NWE,0,0,0,0,0,0.0,4,2,2,1,1,0,0,0,0
29,Jalen Mills,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Kyle Van Noy,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
31,Christian Barmore,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
32,Jonathan Jones,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
33,Dont'a Hightower,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Devin McCourty,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
35,Henry Anderson,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Brandon Bolden,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Joe Cardona,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Cody Davis,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Harvey Langi,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Chase Winovich,NWE,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
