,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Logan Wilson,CIN,2,13,0,13,2,0.0,14,6,8,0,0,0,0,0,0
1,Sam Hubbard,CIN,0,0,0,0,0,1.0,6,3,3,1,2,0,0,0,0
2,Trey Hendrickson,CIN,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
3,B.J. Hill,CIN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
4,Cameron Sample,CIN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
5,Jessie Bates III,CIN,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0
6,Eli Apple,CIN,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,0
7,Akeem Davis-Gaither,CIN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
8,Germaine Pratt,CIN,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
9,Mike Hilton,CIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
10,Darius Phillips,CIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
11,Vonn Bell,CIN,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,1
12,Larry Ogunjobi,CIN,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
13,Jordan Evans,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,D.J. Reader,CIN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
15,Chidobe Awuzie,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Josh Tupou,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Terrell Edmunds,PIT,1,15,0,15,1,0.0,5,2,3,1,0,0,0,0,0
20,Cameron Heyward,PIT,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
21,Joe Schobert,PIT,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
22,Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
23,Chris Wormley,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
24,Isaiah Buggs,PIT,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
25,Melvin Ingram,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
26,Tre Norwood,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
27,Devin Bush Jr.,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
28,Joe Haden,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
29,Arthur Maulet,PIT,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
30,Cameron Sutton,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
31,Derrek Tuszka,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
32,Jamir Jones,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
33,Justin Layne,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
34,Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,James Pierre,PIT,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
36,Derek Watt,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Ray-Ray McCloud,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
