,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,William Gholston,TAM,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
1,Devin White,TAM,0,0,0,0,0,0.0,7,4,3,0,1,0,0,0,0
2,Lavonte David,TAM,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
3,Antoine Winfield Jr.,TAM,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
4,Shaquil Barrett,TAM,0,0,0,0,0,0.0,5,3,2,1,1,0,0,0,0
5,Ross Cockrell,TAM,0,0,0,0,2,0.0,4,2,2,0,0,0,0,0,0
6,Dee Delaney,TAM,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
7,Carlton Davis,TAM,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
8,Mike Edwards,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
9,Jordan Whitehead,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
10,Ndamukong Suh,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Joe Tryon-Shoyinka,TAM,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
12,Vita Vea,TAM,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
13,Andrew Adams,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Steve McLendon,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Anthony Nelson,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Rakeem Nunez-Roches,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Giovani Bernard,TAM,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
20,Kenny Young,LAR,0,0,0,0,0,1.0,10,8,2,3,1,0,0,0,1
21,Leonard Floyd,LAR,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
22,Aaron Donald,LAR,0,0,0,0,1,1.0,3,2,1,1,1,0,0,0,1
23,Jalen Ramsey,LAR,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
24,A'Shawn Robinson,LAR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
25,Darious Williams,LAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
26,Jordan Fuller,LAR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
27,Taylor Rapp,LAR,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
28,David Long,LAR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
29,Sebastian Joseph-Day,LAR,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
30,Greg Gaines,LAR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
31,Justin Hollins,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
32,Terrell Lewis,LAR,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
33,Nick Scott,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Ben Skowronek,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
35,Johnny Mundt,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Troy Reeder,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Andrew Whitworth,LAR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
