,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Antonio Gibson,WAS,12,31,1,15,1.3,16,1.3,1,12.0
1,Taylor Heinicke,WAS,8,21,1,21,2.6,0,0.0,0,
2,J.D. McKissic,WAS,3,23,1,14,4.7,9,3.0,0,
3,Dyami Brown,WAS,1,-4,,-4,-4.0,0,0.0,0,
4,Cam Sims,WAS,1,7,0,5,5.0,2,2.0,0,
6,Zack Moss,BUF,13,60,4,40,3.1,20,1.5,1,13.0
7,Devin Singletary,BUF,11,26,1,13,1.2,13,1.2,0,
8,Josh Allen,BUF,4,9,1,5,1.3,4,1.0,1,4.0
9,Mitchell Trubisky,BUF,4,19,1,19,4.8,0,0.0,0,
10,Isaiah McKenzie,BUF,1,8,1,6,6.0,2,2.0,0,
