,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Dion Dawkins,T,BUF,79,100%,0,0%,7,24%
1,Jon Feliciano,G,BUF,79,100%,0,0%,0,0%
2,Daryl Williams,T,BUF,71,90%,0,0%,7,24%
3,Cody Ford,G,BUF,71,90%,0,0%,7,24%
4,Josh Allen,QB,BUF,71,90%,0,0%,0,0%
5,Mitch Morse,C,BUF,71,90%,0,0%,0,0%
6,Emmanuel Sanders,WR,BUF,63,80%,0,0%,0,0%
7,Dawson Knox,TE,BUF,62,78%,0,0%,8,28%
8,Stefon Diggs,WR,BUF,59,75%,0,0%,0,0%
9,Cole Beasley,WR,BUF,52,66%,0,0%,1,3%
10,Zack Moss,RB,BUF,44,56%,0,0%,0,0%
11,Devin Singletary,RB,BUF,34,43%,0,0%,0,0%
12,Gabriel Davis,WR,BUF,23,29%,0,0%,1,3%
13,Isaiah McKenzie,WR,BUF,15,19%,0,0%,9,31%
14,Tommy Sweeney,TE,BUF,14,18%,0,0%,0,0%
15,Jake Kumerow,WR,BUF,13,16%,0,0%,18,62%
16,Reggie Gilliam,FB,BUF,11,14%,0,0%,25,86%
17,Spencer Brown,T,BUF,10,13%,0,0%,7,24%
18,Ike Boettger,G,BUF,8,10%,0,0%,7,24%
19,Ryan Bates,C,BUF,8,10%,0,0%,7,24%
20,Mitchell Trubisky,QB,BUF,8,10%,0,0%,0,0%
21,Micah Hyde,FS,BUF,3,4%,54,100%,7,24%
22,Tremaine Edmunds,LB,BUF,0,0%,54,100%,4,14%
23,Tre'Davious White,CB,BUF,0,0%,54,100%,3,10%
24,Matt Milano,LB,BUF,0,0%,54,100%,1,3%
25,Levi Wallace,CB,BUF,0,0%,54,100%,0,0%
26,Taron Johnson,CB,BUF,0,0%,54,100%,0,0%
27,Jordan Poyer,SS,BUF,0,0%,50,93%,10,34%
28,Jerry Hughes,DE,BUF,0,0%,32,59%,0,0%
29,Star Lotulelei,DT,BUF,0,0%,31,57%,0,0%
30,Ed Oliver,DT,BUF,0,0%,31,57%,0,0%
31,Gregory Rousseau,DE,BUF,0,0%,30,56%,3,10%
32,Mario Addison,DE,BUF,0,0%,26,48%,0,0%
33,Justin Zimmer,DT,BUF,0,0%,25,46%,3,10%
34,Vernon Butler,DT,BUF,0,0%,21,39%,3,10%
35,A.J. Epenesa,DE,BUF,0,0%,20,37%,11,38%
36,Jaquan Johnson,FS,BUF,0,0%,4,7%,19,66%
37,Tyler Matakevich,LB,BUF,0,0%,0,0%,22,76%
38,Taiwan Jones,RB,BUF,0,0%,0,0%,22,76%
39,Siran Neal,CB,BUF,0,0%,0,0%,18,62%
40,Andre Smith,LB,BUF,0,0%,0,0%,18,62%
41,Tyrel Dodson,LB,BUF,0,0%,0,0%,18,62%
42,Tyler Bass,K,BUF,0,0%,0,0%,15,52%
43,Matt Haack,P,BUF,0,0%,0,0%,9,31%
44,Reid Ferguson,LS,BUF,0,0%,0,0%,9,31%
45,A.J. Klein,LB,BUF,0,0%,0,0%,9,31%
46,Dane Jackson,CB,BUF,0,0%,0,0%,8,28%
47,Damar Hamlin,SS,BUF,0,0%,0,0%,3,10%
0,Charles Leno Jr.,T,WAS,54,100%,0,0%,3,10%
1,Logan Thomas,TE,WAS,54,100%,0,0%,3,10%
2,Samuel Cosmi,T,WAS,54,100%,0,0%,3,10%
3,Ereck Flowers,G,WAS,54,100%,0,0%,3,10%
4,Taylor Heinicke,QB,WAS,54,100%,0,0%,0,0%
5,Chase Roullier,C,WAS,54,100%,0,0%,0,0%
6,Terry McLaurin,WR,WAS,52,96%,0,0%,0,0%
7,Brandon Scherff,G,WAS,51,94%,0,0%,2,7%
8,Dyami Brown,WR,WAS,35,65%,0,0%,0,0%
9,Adam Humphries,WR,WAS,34,63%,0,0%,0,0%
10,Antonio Gibson,RB,WAS,31,57%,0,0%,0,0%
11,J.D. McKissic,RB,WAS,25,46%,0,0%,0,0%
12,Cam Sims,WR,WAS,20,37%,0,0%,17,59%
13,Ricky Seals-Jones,TE,WAS,8,15%,0,0%,12,41%
14,DeAndre Carter,WR,WAS,5,9%,0,0%,10,34%
15,Wes Schweitzer,G,WAS,4,7%,0,0%,3,10%
16,Dax Milne,WR,WAS,4,7%,0,0%,0,0%
17,John Bates,TE,WAS,1,2%,0,0%,11,38%
18,Kendall Fuller,CB,WAS,0,0%,79,100%,0,0%
19,Cole Holcomb,LB,WAS,0,0%,79,100%,0,0%
20,William Jackson III,CB,WAS,0,0%,79,100%,0,0%
21,Chase Young,DE,WAS,0,0%,70,89%,0,0%
22,Jonathan Allen,DT,WAS,0,0%,69,87%,8,28%
23,Daron Payne,DT,WAS,0,0%,63,80%,8,28%
24,Kamren Curl,FS,WAS,0,0%,62,78%,2,7%
25,Benjamin St-Juste,CB,WAS,0,0%,61,77%,12,41%
26,Bobby McCain,CB,WAS,0,0%,55,70%,0,0%
27,Montez Sweat,DE,WAS,0,0%,55,70%,0,0%
28,Landon Collins,SS,WAS,0,0%,46,58%,0,0%
29,Jamin Davis,LB,WAS,0,0%,41,52%,0,0%
30,Jonathan Bostic,LB,WAS,0,0%,39,49%,0,0%
31,James Smith-Williams,DE,WAS,0,0%,23,29%,14,48%
32,Tim Settle,DT,WAS,0,0%,23,29%,8,28%
33,Daniel Wise,DE,WAS,0,0%,11,14%,0,0%
34,Casey Toohill,DE,WAS,0,0%,10,13%,25,86%
35,Torry McTyer,CB,WAS,0,0%,4,5%,13,45%
36,Deshazor Everett,SS,WAS,0,0%,0,0%,26,90%
37,Khaleke Hudson,LB,WAS,0,0%,0,0%,26,90%
38,David Mayo,LB,WAS,0,0%,0,0%,26,90%
39,Troy Apke,FS,WAS,0,0%,0,0%,25,86%
40,Jared Norris,LB,WAS,0,0%,0,0%,18,62%
41,Jaret Patterson,RB,WAS,0,0%,0,0%,14,48%
42,Tress Way,P,WAS,0,0%,0,0%,8,28%
43,Camaron Cheeseman,LS,WAS,0,0%,0,0%,8,28%
44,Dustin Hopkins,K,WAS,0,0%,0,0%,7,24%
45,Cornelius Lucas,T,WAS,0,0%,0,0%,3,10%
46,Tyler Larsen,C,WAS,0,0%,0,0%,1,3%
