,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Jonah Jackson,G,DET,63,100%,0,0%,3,11%
1,Penei Sewell,T,DET,63,100%,0,0%,3,11%
2,Matt Nelson,T,DET,63,100%,0,0%,3,11%
3,Halapoulivaati Vaitai,G,DET,63,100%,0,0%,3,11%
4,Jared Goff,QB,DET,63,100%,0,0%,0,0%
5,Frank Ragnow,C,DET,63,100%,0,0%,0,0%
6,T.J. Hockenson,TE,DET,53,84%,0,0%,0,0%
7,Kalif Raymond,WR,DET,47,75%,0,0%,3,11%
8,Quintez Cephus,WR,DET,45,71%,0,0%,0,0%
9,D'Andre Swift,RB,DET,35,56%,0,0%,0,0%
10,Jamaal Williams,RB,DET,31,49%,0,0%,0,0%
11,Amon-Ra St. Brown,WR,DET,27,43%,0,0%,5,18%
12,Darren Fells,TE,DET,26,41%,0,0%,3,11%
13,Trinity Benson,WR,DET,24,38%,0,0%,0,0%
14,Jason Cabinda,FB,DET,13,21%,0,0%,18,65%
15,Will Holden,T,DET,7,11%,0,0%,3,11%
16,KhaDarel Hodge,WR,DET,5,8%,0,0%,18,65%
17,Logan Stenberg,G,DET,2,3%,0,0%,3,11%
18,Romeo Okwara,LB,DET,0,0%,58,100%,7,25%
19,Amani Oruwariye,CB,DET,0,0%,58,100%,7,25%
20,Bobby Price,FS,DET,0,0%,58,100%,7,25%
21,Alex Anzalone,LB,DET,0,0%,58,100%,7,25%
22,Charles Harris,LB,DET,0,0%,45,77%,7,25%
23,Michael Brockers,DE,DET,0,0%,45,77%,0,0%
24,Dean Marlowe,SS,DET,0,0%,44,76%,15,54%
25,Will Harris,SS,DET,0,0%,44,76%,11,40%
26,Nick Williams,DE,DET,0,0%,42,72%,1,4%
27,Tracy Walker,FS,DET,0,0%,39,67%,10,36%
28,AJ Parker,CB,DET,0,0%,30,52%,0,0%
29,Derrick Barnes,LB,DET,0,0%,28,48%,7,25%
30,Jalen Reeves-Maybin,LB,DET,0,0%,27,46%,8,29%
31,Levi Onwuzurike,DE,DET,0,0%,14,24%,7,25%
32,Alim McNeill,NT,DET,0,0%,13,22%,6,22%
33,Austin Bryant,LB,DET,0,0%,13,22%,5,18%
34,Julian Okwara,LB,DET,0,0%,10,17%,5,18%
35,John Penisini,NT,DET,0,0%,8,14%,6,22%
36,C.J. Moore,FS,DET,0,0%,3,5%,18,65%
37,Daryl Worley,CB,DET,0,0%,2,3%,0,0%
38,Anthony Pittman,LB,DET,0,0%,0,0%,24,86%
39,Godwin Igwebuike,RB,DET,0,0%,0,0%,18,65%
40,Jerry Jacobs,CB,DET,0,0%,0,0%,13,47%
41,Josh Woods,LB,DET,0,0%,0,0%,11,40%
42,Corey Ballentine,CB,DET,0,0%,0,0%,11,40%
43,Jack Fox,P,DET,0,0%,0,0%,10,36%
44,Scott Daly,LS,DET,0,0%,0,0%,10,36%
45,Ryan Santoso,K,DET,0,0%,0,0%,7,25%
46,Evan Brown,C,DET,0,0%,0,0%,3,11%
0,Patrick Mekari,G,BAL,58,100%,0,0%,6,22%
1,Kevin Zeitler,G,BAL,58,100%,0,0%,6,22%
2,Alejandro Villanueva,T,BAL,58,100%,0,0%,6,22%
3,Bradley Bozeman,C,BAL,58,100%,0,0%,0,0%
4,Lamar Jackson,QB,BAL,58,100%,0,0%,0,0%
5,Sammy Watkins,WR,BAL,46,79%,0,0%,0,0%
6,Mark Andrews,TE,BAL,46,79%,0,0%,0,0%
7,Marquise Brown,WR,BAL,39,67%,0,0%,0,0%
8,Devin Duvernay,WR,BAL,33,57%,0,0%,11,40%
9,Ben Powers,G,BAL,32,55%,0,0%,6,22%
10,Patrick Ricard,FB,BAL,29,50%,0,0%,4,14%
11,Ty'Son Williams,RB,BAL,29,50%,0,0%,0,0%
12,Ben Cleveland,G,BAL,26,45%,0,0%,6,22%
13,Latavius Murray,RB,BAL,19,33%,0,0%,0,0%
14,Eric Tomlinson,TE,BAL,15,26%,0,0%,6,22%
15,James Proche,WR,BAL,13,22%,0,0%,10,36%
16,Josh Oliver,TE,BAL,11,19%,0,0%,5,18%
17,Devonta Freeman,RB,BAL,9,16%,0,0%,0,0%
18,Trystan Colon-Castillo,C,BAL,1,2%,0,0%,0,0%
19,Chuck Clark,SS,BAL,0,0%,63,100%,5,18%
20,Marlon Humphrey,CB,BAL,0,0%,63,100%,1,4%
21,Patrick Queen,LB,BAL,0,0%,62,98%,0,0%
22,Anthony Averett,CB,BAL,0,0%,60,95%,9,32%
23,Odafe Oweh,LB,BAL,0,0%,50,79%,0,0%
24,Calais Campbell,DE,BAL,0,0%,47,75%,10,36%
25,Tyus Bowser,LB,BAL,0,0%,47,75%,9,32%
26,Justin Ellis,DT,BAL,0,0%,40,63%,4,14%
27,DeShon Elliott,FS,BAL,0,0%,39,62%,3,11%
28,Pernell McPhee,LB,BAL,0,0%,38,60%,1,4%
29,Broderick Washington Jr.,DT,BAL,0,0%,36,57%,4,14%
30,Tavon Young,CB,BAL,0,0%,35,56%,0,0%
31,Brandon Stephens,FS,BAL,0,0%,22,35%,14,50%
32,Chris Board,LB,BAL,0,0%,21,33%,22,79%
33,Jimmy Smith,CB,BAL,0,0%,19,30%,0,0%
34,Malik Harrison,LB,BAL,0,0%,17,27%,22,79%
35,Kahlil McKenzie,DT,BAL,0,0%,15,24%,0,0%
36,Josh Bynes,LB,BAL,0,0%,14,22%,0,0%
37,Daelin Hayes,LB,BAL,0,0%,4,6%,0,0%
38,Kristian Welch,LB,BAL,0,0%,1,2%,22,79%
39,Anthony Levine,SS,BAL,0,0%,0,0%,22,79%
40,Kevon Seymour,CB,BAL,0,0%,0,0%,21,75%
41,Geno Stone,SS,BAL,0,0%,0,0%,18,65%
42,Tylan Wallace,WR,BAL,0,0%,0,0%,18,65%
43,Justin Tucker,K,BAL,0,0%,0,0%,11,40%
44,Sam Koch,P,BAL,0,0%,0,0%,9,32%
45,Nick Moore,LS,BAL,0,0%,0,0%,9,32%
46,Andre Smith,T,BAL,0,0%,0,0%,6,22%
