,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Jawaan Taylor,T,JAX,68,100%,0,0%,3,10%
1,A.J. Cann,G,JAX,68,100%,0,0%,3,10%
2,Trevor Lawrence,QB,JAX,68,100%,0,0%,0,0%
3,Brandon Linder,G,JAX,68,100%,0,0%,0,0%
4,Marvin Jones,WR,JAX,66,97%,0,0%,0,0%
5,Andrew Norwell,G,JAX,62,91%,0,0%,3,10%
6,Cam Robinson,T,JAX,60,88%,0,0%,0,0%
7,DJ Chark,WR,JAX,59,87%,0,0%,0,0%
8,Jacob Hollister,TE,JAX,46,68%,0,0%,6,21%
9,Laviska Shenault Jr.,WR,JAX,44,65%,0,0%,0,0%
10,James Robinson,RB,JAX,40,59%,0,0%,0,0%
11,Chris Manhertz,TE,JAX,25,37%,0,0%,3,10%
12,Carlos Hyde,RB,JAX,23,34%,0,0%,0,0%
13,Luke Farrell,TE,JAX,17,25%,0,0%,6,21%
14,Will Richardson,T,JAX,8,12%,0,0%,3,10%
15,Phillip Dorsett,WR,JAX,7,10%,0,0%,0,0%
16,Jamal Agnew,WR,JAX,6,9%,0,0%,12,41%
17,Ben Bartch,T,JAX,6,9%,0,0%,3,10%
18,Dare Ogunbowale,RB,JAX,5,7%,0,0%,19,66%
19,Tyron Johnson,WR,JAX,2,3%,0,0%,0,0%
20,Andrew Wingard,FS,JAX,0,0%,67,100%,12,41%
21,Rayshawn Jenkins,SS,JAX,0,0%,67,100%,8,28%
22,Tyson Campbell,CB,JAX,0,0%,67,100%,6,21%
23,Shaquill Griffin,CB,JAX,0,0%,67,100%,4,14%
24,Myles Jack,LB,JAX,0,0%,67,100%,0,0%
25,Damien Wilson,LB,JAX,0,0%,57,85%,6,21%
26,Josh Allen,LB,JAX,0,0%,51,76%,6,21%
27,Chris Claybrooks,CB,JAX,0,0%,45,67%,7,24%
28,Adam Gotsis,DE,JAX,0,0%,44,66%,9,31%
29,Malcom Brown,DT,JAX,0,0%,44,66%,6,21%
30,Dawuane Smoot,DE,JAX,0,0%,41,61%,0,0%
31,Jihad Ward,LB,JAX,0,0%,35,52%,1,3%
32,K'Lavon Chaisson,LB,JAX,0,0%,31,46%,5,17%
33,DaVon Hamilton,DT,JAX,0,0%,22,33%,7,24%
