,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Billy Price,C,NYG,70,100%,0,0%,2,9%
1,Andrew Thomas,T,NYG,70,100%,0,0%,2,9%
2,Nate Solder,T,NYG,70,100%,0,0%,2,9%
3,Will Hernandez,G,NYG,70,100%,0,0%,2,9%
4,Ben Bredeson,G,NYG,70,100%,0,0%,0,0%
5,Daniel Jones,QB,NYG,70,100%,0,0%,0,0%
6,Saquon Barkley,RB,NYG,60,86%,0,0%,0,0%
7,Kenny Golladay,WR,NYG,48,69%,0,0%,0,0%
8,Kadarius Toney,WR,NYG,46,66%,0,0%,0,0%
9,Evan Engram,TE,NYG,39,56%,0,0%,0,0%
10,Collin Johnson,WR,NYG,34,49%,0,0%,8,35%
11,Kyle Rudolph,TE,NYG,29,41%,0,0%,2,9%
12,Kaden Smith,TE,NYG,28,40%,0,0%,9,39%
13,Sterling Shepard,WR,NYG,24,34%,0,0%,0,0%
14,C.J. Board,WR,NYG,22,31%,0,0%,11,48%
15,Darius Slayton,WR,NYG,9,13%,0,0%,0,0%
16,Elijhaa Penny,RB,NYG,8,11%,0,0%,13,57%
17,Gary Brightwell,RB,NYG,2,3%,0,0%,13,57%
18,Cullen Gillaspia,FB,NYG,1,1%,0,0%,21,91%
19,Logan Ryan,FS,NYG,0,0%,62,100%,3,13%
20,Tae Crowder,LB,NYG,0,0%,61,98%,3,13%
21,Xavier McKinney,FS,NYG,0,0%,61,98%,0,0%
22,James Bradberry,CB,NYG,0,0%,60,97%,3,13%
23,Adoree' Jackson,CB,NYG,0,0%,60,97%,0,0%
24,Leonard Williams,DT,NYG,0,0%,49,79%,8,35%
25,Jabrill Peppers,SS,NYG,0,0%,43,69%,14,61%
26,Dexter Lawrence,DE,NYG,0,0%,43,69%,10,43%
27,Reggie Ragland,LB,NYG,0,0%,40,65%,11,48%
28,Austin Johnson,NT,NYG,0,0%,39,63%,8,35%
29,Lorenzo Carter,LB,NYG,0,0%,32,52%,5,22%
30,Azeez Ojulari,LB,NYG,0,0%,31,50%,5,22%
31,Danny Shelton,NT,NYG,0,0%,21,34%,5,22%
32,Julian Love,SS,NYG,0,0%,20,32%,16,70%
33,Rodarius Williams,CB,NYG,0,0%,17,27%,6,26%
34,Oshane Ximines,LB,NYG,0,0%,17,27%,3,13%
35,Raymond Johnson,DE,NYG,0,0%,12,19%,0,0%
36,Carter Coughlin,LB,NYG,0,0%,5,8%,21,91%
37,Blake Martinez,LB,NYG,0,0%,5,8%,0,0%
38,Quincy Roche,LB,NYG,0,0%,3,5%,0,0%
39,Darnay Holmes,CB,NYG,0,0%,1,2%,7,30%
40,Keion Crossen,CB,NYG,0,0%,0,0%,18,78%
41,Casey Kreiter,LS,NYG,0,0%,0,0%,7,30%
42,Riley Dixon,P,NYG,0,0%,0,0%,7,30%
43,Graham Gano,K,NYG,0,0%,0,0%,6,26%
44,Matt Peart,T,NYG,0,0%,0,0%,2,9%
0,Chris Lindstrom,G,ATL,62,100%,0,0%,3,13%
1,Jake Matthews,T,ATL,62,100%,0,0%,3,13%
2,Kaleb McGary,T,ATL,62,100%,0,0%,3,13%
3,Jalen Mayfield,G,ATL,62,100%,0,0%,3,13%
4,Matt Hennessy,C,ATL,62,100%,0,0%,0,0%
5,Matt Ryan,QB,ATL,62,100%,0,0%,0,0%
6,Calvin Ridley,WR,ATL,59,95%,0,0%,0,0%
7,Kyle Pitts,TE,ATL,52,84%,0,0%,0,0%
8,Olamide Zaccheaus,WR,ATL,43,69%,0,0%,0,0%
9,Mike Davis,RB,ATL,37,60%,0,0%,0,0%
10,Cordarrelle Patterson,RB,ATL,26,42%,0,0%,7,30%
11,Lee Smith,TE,ATL,26,42%,0,0%,3,13%
12,Hayden Hurst,TE,ATL,24,39%,0,0%,3,13%
13,Keith Smith,FB,ATL,22,35%,0,0%,17,74%
14,Tajae Sharpe,WR,ATL,15,24%,0,0%,0,0%
15,Jason Spriggs,T,ATL,3,5%,0,0%,3,13%
16,Feleipe Franks,QB,ATL,3,5%,0,0%,0,0%
17,Erik Harris,FS,ATL,0,0%,70,100%,10,43%
18,Fabian Moreau,CB,ATL,0,0%,70,100%,3,13%
19,Foyesade Oluokun,LB,ATL,0,0%,70,100%,1,4%
20,T.J. Green,CB,ATL,0,0%,70,100%,1,4%
21,Deion Jones,LB,ATL,0,0%,68,97%,1,4%
22,Isaiah Oliver,CB,ATL,0,0%,57,81%,9,39%
23,Steven Means,LB,ATL,0,0%,53,76%,7,30%
24,Grady Jarrett,DT,ATL,0,0%,53,76%,1,4%
25,Dante Fowler,LB,ATL,0,0%,48,69%,1,4%
26,Duron Harmon,SS,ATL,0,0%,48,69%,0,0%
27,Tyeler Davison,DT,ATL,0,0%,41,59%,0,0%
28,Jaylinn Hawkins,FS,ATL,0,0%,23,33%,20,87%
29,Adetokunbo Ogundeji,LB,ATL,0,0%,22,31%,10,43%
30,Jonathan Bullard,DE,ATL,0,0%,22,31%,2,9%
31,Ta'Quon Graham,DE,ATL,0,0%,16,23%,3,13%
32,Marlon Davidson,DT,ATL,0,0%,15,21%,2,9%
33,Jacob Tuioti-Mariner,LB,ATL,0,0%,12,17%,17,74%
34,Mykal Walker,LB,ATL,0,0%,5,7%,15,65%
35,Brandon Copeland,LB,ATL,0,0%,4,6%,10,43%
36,Avery Williams,CB,ATL,0,0%,3,4%,20,87%
37,Richie Grant,SS,ATL,0,0%,0,0%,19,83%
38,Dorian Etheridge,LB,ATL,0,0%,0,0%,13,57%
39,Cameron Nizialek,P,ATL,0,0%,0,0%,12,52%
40,Christian Blake,WR,ATL,0,0%,0,0%,10,43%
41,Josh Harris,LS,ATL,0,0%,0,0%,9,39%
42,Darren Hall,CB,ATL,0,0%,0,0%,6,26%
43,Younghoe Koo,K,ATL,0,0%,0,0%,3,13%
44,Drew Dalman,C,ATL,0,0%,0,0%,3,13%
