,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Kevin Dotson,G,PIT,83,100%,0,0%,3,13%
1,Dan Moore,T,PIT,83,100%,0,0%,3,13%
2,Ben Roethlisberger,QB,PIT,83,100%,0,0%,0,0%
3,Trai Turner,G,PIT,83,100%,0,0%,0,0%
4,Najee Harris,RB,PIT,79,95%,0,0%,0,0%
5,Chase Claypool,WR,PIT,76,92%,0,0%,0,0%
6,Kendrick Green,C,PIT,74,89%,0,0%,0,0%
7,James Washington,WR,PIT,66,80%,0,0%,0,0%
8,Chukwuma Okorafor,T,PIT,50,60%,0,0%,2,8%
9,Ray-Ray McCloud,WR,PIT,47,57%,0,0%,10,42%
10,Eric Ebron,TE,PIT,47,57%,0,0%,0,0%
11,Joe Haeg,T,PIT,33,40%,0,0%,3,13%
12,JuJu Smith-Schuster,WR,PIT,33,40%,0,0%,0,0%
13,Pat Freiermuth,TE,PIT,30,36%,0,0%,0,0%
14,Zach Gentry,TE,PIT,17,20%,0,0%,8,33%
15,J.C. Hassenauer,C,PIT,9,11%,0,0%,3,13%
16,Cody White,WR,PIT,9,11%,0,0%,0,0%
17,Derek Watt,FB,PIT,7,8%,0,0%,17,71%
18,Benny Snell Jr.,RB,PIT,4,5%,0,0%,17,71%
19,Cameron Sutton,CB,PIT,0,0%,47,100%,7,29%
20,Melvin Ingram,LB,PIT,0,0%,47,100%,4,17%
21,Minkah Fitzpatrick,SS,PIT,0,0%,47,100%,4,17%
22,Joe Haden,CB,PIT,0,0%,47,100%,4,17%
23,Chris Wormley,DE,PIT,0,0%,43,91%,6,25%
24,Cameron Heyward,DT,PIT,0,0%,42,89%,7,29%
25,Joe Schobert,LB,PIT,0,0%,42,89%,4,17%
26,Devin Bush Jr.,LB,PIT,0,0%,38,81%,4,17%
27,Terrell Edmunds,SS,PIT,0,0%,37,79%,4,17%
28,Derrek Tuszka,LB,PIT,0,0%,27,57%,2,8%
29,James Pierre,CB,PIT,0,0%,24,51%,12,50%
30,Jamir Jones,LB,PIT,0,0%,20,43%,11,46%
31,Isaiah Buggs,DE,PIT,0,0%,15,32%,4,17%
32,Tre Norwood,FS,PIT,0,0%,14,30%,8,33%
33,Arthur Maulet,CB,PIT,0,0%,12,26%,13,54%
34,Isaiahh Loudermilk,DE,PIT,0,0%,9,19%,0,0%
35,Henry Mondeaux,DE,PIT,0,0%,6,13%,1,4%
36,Robert Spillane,LB,PIT,0,0%,0,0%,17,71%
37,Miles Killebrew,FS,PIT,0,0%,0,0%,17,71%
38,Ulysees Gilbert,LB,PIT,0,0%,0,0%,17,71%
39,Marcus Allen,LB,PIT,0,0%,0,0%,14,58%
40,Justin Layne,CB,PIT,0,0%,0,0%,12,50%
41,Christian Kuntz,LS,PIT,0,0%,0,0%,7,29%
42,Pressley Harvin III,P,PIT,0,0%,0,0%,7,29%
43,Chris Boswell,K,PIT,0,0%,0,0%,6,25%
44,Kalen Ballage,RB,PIT,0,0%,0,0%,5,21%
45,B.J. Finney,C,PIT,0,0%,0,0%,1,4%
0,Jonah Williams,T,CIN,47,100%,0,0%,4,17%
1,Quinton Spain,G,CIN,47,100%,0,0%,4,17%
2,Trey Hopkins,C,CIN,47,100%,0,0%,4,17%
3,Jackson Carman,G,CIN,47,100%,0,0%,4,17%
4,Joe Burrow,QB,CIN,47,100%,0,0%,0,0%
5,Riley Reiff,T,CIN,45,96%,0,0%,4,17%
6,Ja'Marr Chase,WR,CIN,39,83%,0,0%,0,0%
7,Tyler Boyd,WR,CIN,37,79%,0,0%,0,0%
8,Joe Mixon,RB,CIN,35,74%,0,0%,0,0%
9,C.J. Uzomah,TE,CIN,33,70%,0,0%,4,17%
10,Auden Tate,WR,CIN,27,57%,0,0%,3,13%
11,Drew Sample,TE,CIN,21,45%,0,0%,7,29%
12,Samaje Perine,RB,CIN,10,21%,0,0%,13,54%
13,Mike Thomas,WR,CIN,10,21%,0,0%,4,17%
14,Isaiah Prince,T,CIN,7,15%,0,0%,0,0%
15,Trenton Irwin,WR,CIN,6,13%,0,0%,0,0%
16,Chris Evans,RB,CIN,5,11%,0,0%,9,38%
17,Stanley Morgan Jr.,WR,CIN,3,6%,0,0%,17,71%
18,Mike Hilton,CB,CIN,2,4%,73,88%,0,0%
19,Mitchell Wilcox,TE,CIN,2,4%,0,0%,6,25%
20,Vonn Bell,SS,CIN,0,0%,83,100%,3,13%
21,Jessie Bates III,FS,CIN,0,0%,83,100%,3,13%
22,Eli Apple,CB,CIN,0,0%,83,100%,3,13%
23,Logan Wilson,LB,CIN,0,0%,67,81%,8,33%
24,Sam Hubbard,DE,CIN,0,0%,64,77%,3,13%
25,Trey Hendrickson,DE,CIN,0,0%,60,72%,3,13%
26,Larry Ogunjobi,DT,CIN,0,0%,57,69%,3,13%
27,D.J. Reader,NT,CIN,0,0%,46,55%,3,13%
28,Akeem Davis-Gaither,LB,CIN,0,0%,45,54%,17,71%
29,Darius Phillips,CB,CIN,0,0%,42,51%,11,46%
30,Chidobe Awuzie,CB,CIN,0,0%,41,49%,0,0%
31,Germaine Pratt,LB,CIN,0,0%,36,43%,8,33%
32,B.J. Hill,DT,CIN,0,0%,33,40%,3,13%
33,Cameron Sample,DE,CIN,0,0%,31,37%,0,0%
34,Josh Tupou,NT,CIN,0,0%,24,29%,0,0%
35,Jordan Evans,LB,CIN,0,0%,16,19%,20,83%
36,Wyatt Ray,DE,CIN,0,0%,15,18%,4,17%
37,Sean Davis,FS,CIN,0,0%,6,7%,9,38%
38,Darius Hodge,DE,CIN,0,0%,5,6%,5,21%
39,Jalen Davis,CB,CIN,0,0%,3,4%,10,42%
40,Markus Bailey,LB,CIN,0,0%,0,0%,17,71%
41,Brandon Wilson,FS,CIN,0,0%,0,0%,17,71%
42,Evan McPherson,K,CIN,0,0%,0,0%,9,38%
43,Clark Harris,LS,CIN,0,0%,0,0%,9,38%
44,Kevin Huber,P,CIN,0,0%,0,0%,9,38%
45,Trey Hill,C,CIN,0,0%,0,0%,4,17%
