,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Brian Allen,C,LAR,65,100%,0,0%,6,20%
1,Austin Corbett,G,LAR,65,100%,0,0%,6,20%
2,David Edwards,G,LAR,65,100%,0,0%,6,20%
3,Rob Havenstein,T,LAR,65,100%,0,0%,6,20%
4,Matthew Stafford,QB,LAR,65,100%,0,0%,0,0%
5,Andrew Whitworth,T,LAR,63,97%,0,0%,0,0%
6,Robert Woods,WR,LAR,57,88%,0,0%,0,0%
7,Cooper Kupp,WR,LAR,53,82%,0,0%,7,23%
8,Van Jefferson,WR,LAR,50,77%,0,0%,1,3%
9,Tyler Higbee,TE,LAR,49,75%,0,0%,6,20%
10,Sony Michel,RB,LAR,48,74%,0,0%,0,0%
11,Johnny Mundt,TE,LAR,31,48%,0,0%,18,60%
12,DeSean Jackson,WR,LAR,21,32%,0,0%,0,0%
13,Jake Funk,RB,LAR,14,22%,0,0%,8,27%
14,Ben Skowronek,WR,LAR,2,3%,0,0%,10,33%
15,Joseph Noteboom,T,LAR,2,3%,0,0%,6,20%
16,Taylor Rapp,FS,LAR,0,0%,73,100%,8,27%
17,Jalen Ramsey,CB,LAR,0,0%,73,100%,6,20%
18,Darious Williams,CB,LAR,0,0%,73,100%,0,0%
19,Kenny Young,LB,LAR,0,0%,73,100%,0,0%
20,Jordan Fuller,SS,LAR,0,0%,73,100%,0,0%
21,David Long,CB,LAR,0,0%,71,97%,0,0%
22,Aaron Donald,DT,LAR,0,0%,60,82%,0,0%
23,Leonard Floyd,LB,LAR,0,0%,58,79%,0,0%
24,Justin Hollins,LB,LAR,0,0%,49,67%,0,0%
25,Sebastian Joseph-Day,NT,LAR,0,0%,47,64%,0,0%
26,Terrell Lewis,LB,LAR,0,0%,34,47%,0,0%
27,Nick Scott,SS,LAR,0,0%,31,42%,24,80%
28,Greg Gaines,NT,LAR,0,0%,24,33%,0,0%
29,A'Shawn Robinson,DT,LAR,0,0%,19,26%,6,20%
30,Michael Hoecht,DT,LAR,0,0%,18,25%,9,30%
31,Troy Reeder,LB,LAR,0,0%,16,22%,24,80%
32,Jonah Williams,DE,LAR,0,0%,7,10%,6,20%
33,Chris Garrett,LB,LAR,0,0%,4,5%,6,20%
34,Ernest Jones,LB,LAR,0,0%,0,0%,24,80%
35,Travin Howard,LB,LAR,0,0%,0,0%,24,80%
36,Terrell Burgess,FS,LAR,0,0%,0,0%,21,70%
37,Jacob Harris,TE,LAR,0,0%,0,0%,18,60%
38,Buddy Howell,RB,LAR,0,0%,0,0%,17,57%
39,Matt Gay,K,LAR,0,0%,0,0%,13,43%
40,Tyler Hall,CB,LAR,0,0%,0,0%,13,43%
41,Matthew Orzech,LS,LAR,0,0%,0,0%,9,30%
42,Johnny Hekker,P,LAR,0,0%,0,0%,9,30%
43,Tutu Atwell,WR,LAR,0,0%,0,0%,7,23%
44,Coleman Shelton,G,LAR,0,0%,0,0%,6,20%
0,Tristan Wirfs,T,TAM,73,100%,0,0%,5,17%
1,Alex Cappa,G,TAM,73,100%,0,0%,5,17%
2,Ali Marpet,G,TAM,73,100%,0,0%,5,17%
3,Donovan Smith,T,TAM,73,100%,0,0%,5,17%
4,Tom Brady,QB,TAM,73,100%,0,0%,0,0%
5,Ryan Jensen,C,TAM,73,100%,0,0%,0,0%
6,Chris Godwin,WR,TAM,70,96%,0,0%,0,0%
7,Mike Evans,WR,TAM,61,84%,0,0%,0,0%
8,Rob Gronkowski,TE,TAM,45,62%,0,0%,0,0%
9,Tyler Johnson,WR,TAM,34,47%,0,0%,11,37%
10,Giovani Bernard,RB,TAM,33,45%,0,0%,7,23%
11,Cameron Brate,TE,TAM,33,45%,0,0%,0,0%
12,Scott Miller,WR,TAM,32,44%,0,0%,1,3%
13,Leonard Fournette,RB,TAM,26,36%,0,0%,0,0%
14,O.J. Howard,TE,TAM,14,19%,0,0%,0,0%
15,Ronald Jones II,RB,TAM,12,16%,0,0%,0,0%
16,Jaelon Darden,WR,TAM,3,4%,0,0%,10,33%
17,Josh Wells,T,TAM,2,3%,0,0%,5,17%
18,Carlton Davis,CB,TAM,0,0%,65,100%,11,37%
19,Antoine Winfield Jr.,FS,TAM,0,0%,65,100%,11,37%
20,Devin White,LB,TAM,0,0%,65,100%,6,20%
21,Lavonte David,LB,TAM,0,0%,65,100%,0,0%
22,Shaquil Barrett,LB,TAM,0,0%,58,89%,0,0%
23,Ross Cockrell,CB,TAM,0,0%,57,88%,11,37%
24,Dee Delaney,CB,TAM,0,0%,53,82%,14,47%
25,Joe Tryon-Shoyinka,LB,TAM,0,0%,51,78%,10,33%
26,Jordan Whitehead,SS,TAM,0,0%,42,65%,0,0%
27,Ndamukong Suh,DE,TAM,0,0%,34,52%,0,0%
28,Vita Vea,NT,TAM,0,0%,33,51%,11,37%
29,Rakeem Nunez-Roches,DT,TAM,0,0%,32,49%,11,37%
30,William Gholston,DE,TAM,0,0%,24,37%,6,20%
31,Mike Edwards,FS,TAM,0,0%,23,35%,3,10%
32,Anthony Nelson,LB,TAM,0,0%,21,32%,21,70%
33,Steve McLendon,NT,TAM,0,0%,15,23%,0,0%
34,Jamel Dean,CB,TAM,0,0%,12,18%,0,0%
35,Pat O'Connor,DE,TAM,0,0%,0,0%,29,97%
36,Grant Stuard,LB,TAM,0,0%,0,0%,19,63%
37,Andrew Adams,SS,TAM,0,0%,0,0%,19,63%
38,Rashard Robinson,CB,TAM,0,0%,0,0%,18,60%
39,K.J. Britt,LB,TAM,0,0%,0,0%,18,60%
40,Ke'Shawn Vaughn,RB,TAM,0,0%,0,0%,16,53%
41,Bradley Pinion,P,TAM,0,0%,0,0%,14,47%
42,Deon Yelder,TE,TAM,0,0%,0,0%,14,47%
43,Carson Tinker,LS,TAM,0,0%,0,0%,9,30%
44,Ryan Succop,K,TAM,0,0%,0,0%,5,17%
