,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Myles Jack,JAX,0,6,6,100.0%,104,17.3,17.3,1,158.3,6.7,40,64,2,0,0,0.0,0,7,0,0.0%
1,Tyson Campbell,JAX,0,7,5,71.4%,100,20.0,14.3,0,113.7,8.6,53,47,0,0,0,0.0,0,9,1,10.0%
2,Tre Herndon,JAX,0,6,5,83.3%,63,12.6,10.5,0,110.4,5.0,25,38,2,0,0,0.0,0,5,0,0.0%
3,Shaquill Griffin,JAX,0,6,4,66.7%,20,5.0,3.3,0,71.5,7.2,6,14,1,0,0,0.0,0,4,0,0.0%
4,Rayshawn Jenkins,JAX,0,3,3,100.0%,54,18.0,18.0,1,158.3,3.0,9,45,1,0,0,0.0,0,8,1,11.1%
5,Damien Wilson,JAX,0,2,2,100.0%,7,3.5,3.5,0,81.2,0.5,1,6,0,0,0,0.0,0,6,2,25.0%
6,Adam Gotsis,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,1,25.0%
7,Dawuane Smoot,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
8,Jihad Ward,JAX,0,0,0,,,,,,,,,,1,1,0,0.0,1,2,0,0.0%
9,K'Lavon Chaisson,JAX,0,2,0,0.0%,,,0.0,,39.6,14.5,,,1,0,1,0.0,1,1,0,0.0%
10,Malcom Brown,JAX,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%
11,Andrew Wingard,JAX,0,0,0,,,,,,,,,,1,0,0,0.0,0,7,1,12.5%
12,Josh Allen,JAX,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
14,Mike Hilton,CIN,0,7,6,85.7%,72,12.0,10.3,0,109.5,7.6,48,24,1,0,0,0.0,0,3,1,25.0%
15,Logan Wilson,CIN,0,3,3,100.0%,23,7.7,7.7,0,98.6,0.3,1,22,1,0,0,1.0,1,10,0,0.0%
16,Trae Waynes,CIN,0,3,3,100.0%,70,23.3,23.3,0,118.7,21.3,64,6,0,0,0,0.0,0,4,0,0.0%
17,Eli Apple,CIN,0,3,2,66.7%,14,7.0,4.7,0,77.1,12.0,12,2,0,0,0,0.0,0,3,0,0.0%
18,Darius Phillips,CIN,0,2,1,50.0%,20,20.0,10.0,0,85.4,19.0,8,12,0,0,0,0.0,0,0,1,100.0%
19,Germaine Pratt,CIN,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-6.0,-6,4,0,0,0,0.0,0,9,1,10.0%
20,Vonn Bell,CIN,0,1,1,100.0%,7,7.0,7.0,0,95.8,4.0,4,3,1,0,0,0.0,0,5,1,16.7%
21,Sam Hubbard,CIN,0,0,0,,,,,,,,,,0,2,0,0.0,2,6,1,14.3%
22,Trey Hendrickson,CIN,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%
23,D.J. Reader,CIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,6,1,14.3%
24,Kevin Huber,CIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
25,Jalen Davis,CIN,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,0,0,0,0.0,0,1,0,0.0%
26,Akeem Davis-Gaither,CIN,0,1,0,0.0%,,,0.0,,39.6,10.0,,,0,0,0,0.0,0,2,0,0.0%
