,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Trey Hopkins,C,CIN,58,100%,0,0%,5,22%
1,Jonah Williams,T,CIN,58,100%,0,0%,5,22%
2,Jackson Carman,G,CIN,58,100%,0,0%,5,22%
3,Riley Reiff,T,CIN,58,100%,0,0%,5,22%
4,Quinton Spain,G,CIN,58,100%,0,0%,5,22%
5,Joe Burrow,QB,CIN,58,100%,0,0%,0,0%
6,C.J. Uzomah,TE,CIN,48,83%,0,0%,5,22%
7,Ja'Marr Chase,WR,CIN,46,79%,0,0%,0,0%
8,Joe Mixon,RB,CIN,40,69%,0,0%,0,0%
9,Tyler Boyd,WR,CIN,36,62%,0,0%,0,0%
10,Drew Sample,TE,CIN,29,50%,0,0%,9,39%
11,Auden Tate,WR,CIN,20,34%,0,0%,4,17%
12,Mike Thomas,WR,CIN,18,31%,0,0%,7,30%
13,Samaje Perine,RB,CIN,16,28%,0,0%,11,48%
14,Trenton Irwin,WR,CIN,16,28%,0,0%,0,0%
15,Isaiah Prince,T,CIN,14,24%,0,0%,0,0%
16,Mitchell Wilcox,TE,CIN,3,5%,0,0%,12,52%
17,Stanley Morgan Jr.,WR,CIN,2,3%,0,0%,15,65%
18,Chris Evans,RB,CIN,2,3%,0,0%,7,30%
19,Logan Wilson,LB,CIN,0,0%,56,100%,6,26%
20,Vonn Bell,SS,CIN,0,0%,56,100%,3,13%
21,Brandon Wilson,FS,CIN,0,0%,56,100%,0,0%
22,Trae Waynes,CB,CIN,0,0%,53,95%,0,0%
23,Eli Apple,CB,CIN,0,0%,51,91%,3,13%
24,Sam Hubbard,DE,CIN,0,0%,49,88%,3,13%
25,Trey Hendrickson,DE,CIN,0,0%,48,86%,3,13%
26,Germaine Pratt,LB,CIN,0,0%,44,79%,7,30%
27,Mike Hilton,CB,CIN,0,0%,44,79%,0,0%
28,D.J. Reader,NT,CIN,0,0%,41,73%,2,9%
29,Larry Ogunjobi,DT,CIN,0,0%,36,64%,3,13%
30,Josh Tupou,NT,CIN,0,0%,23,41%,1,4%
31,B.J. Hill,DT,CIN,0,0%,20,36%,3,13%
32,Akeem Davis-Gaither,LB,CIN,0,0%,11,20%,15,65%
33,Cameron Sample,DE,CIN,0,0%,10,18%,0,0%
34,Darius Phillips,CB,CIN,0,0%,8,14%,15,65%
35,Wyatt Ray,DE,CIN,0,0%,8,14%,4,17%
36,Jalen Davis,CB,CIN,0,0%,2,4%,8,35%
37,Jordan Evans,LB,CIN,0,0%,0,0%,18,78%
38,Markus Bailey,LB,CIN,0,0%,0,0%,15,65%
39,Trayvon Henderson,SS,CIN,0,0%,0,0%,11,48%
40,Evan McPherson,K,CIN,0,0%,0,0%,9,39%
41,Kevin Huber,P,CIN,0,0%,0,0%,8,35%
42,Clark Harris,LS,CIN,0,0%,0,0%,8,35%
43,Trey Hill,C,CIN,0,0%,0,0%,5,22%
44,Nick McCloud,CB,CIN,0,0%,0,0%,4,17%
45,Darius Hodge,DE,CIN,0,0%,0,0%,4,17%
0,Jawaan Taylor,T,JAX,56,100%,0,0%,3,13%
1,Andrew Norwell,G,JAX,56,100%,0,0%,3,13%
2,Trevor Lawrence,QB,JAX,56,100%,0,0%,0,0%
3,Cam Robinson,T,JAX,56,100%,0,0%,0,0%
4,Brandon Linder,G,JAX,56,100%,0,0%,0,0%
5,James Robinson,RB,JAX,53,95%,0,0%,0,0%
6,Marvin Jones,WR,JAX,52,93%,0,0%,0,0%
7,Laviska Shenault Jr.,WR,JAX,42,75%,0,0%,0,0%
8,Tavon Austin,WR,JAX,41,73%,0,0%,0,0%
9,Ben Bartch,T,JAX,35,63%,0,0%,3,13%
10,Chris Manhertz,TE,JAX,24,43%,0,0%,5,22%
11,A.J. Cann,G,JAX,21,38%,0,0%,1,4%
12,Dan Arnold,TE,JAX,18,32%,0,0%,0,0%
13,Luke Farrell,TE,JAX,16,29%,0,0%,4,17%
14,Jacob Hollister,TE,JAX,11,20%,0,0%,5,22%
15,Tyron Johnson,WR,JAX,9,16%,0,0%,0,0%
16,Jamal Agnew,WR,JAX,8,14%,0,0%,7,31%
17,Dare Ogunbowale,RB,JAX,3,5%,0,0%,4,17%
18,DJ Chark,WR,JAX,3,5%,0,0%,0,0%
19,Andrew Wingard,FS,JAX,0,0%,58,100%,9,39%
20,Rayshawn Jenkins,SS,JAX,0,0%,58,100%,9,39%
21,Shaquill Griffin,CB,JAX,0,0%,58,100%,4,17%
22,Tyson Campbell,CB,JAX,0,0%,58,100%,4,17%
23,Myles Jack,LB,JAX,0,0%,58,100%,0,0%
24,Damien Wilson,LB,JAX,0,0%,51,88%,5,22%
25,Malcom Brown,DT,JAX,0,0%,43,74%,5,22%
26,Josh Allen,LB,JAX,0,0%,41,71%,5,22%
27,Tre Herndon,CB,JAX,0,0%,39,67%,0,0%
28,Adam Gotsis,DE,JAX,0,0%,35,60%,8,35%
29,Dawuane Smoot,DE,JAX,0,0%,35,60%,0,0%
30,Jihad Ward,LB,JAX,0,0%,29,50%,1,4%
31,DaVon Hamilton,DT,JAX,0,0%,26,45%,7,31%
32,K'Lavon Chaisson,LB,JAX,0,0%,25,43%,9,39%
33,Taven Bryan,DT,JAX,0,0%,16,28%,0,0%
34,Rudy Ford,SS,JAX,0,0%,7,12%,15,65%
35,Lerentee McCray,DE,JAX,0,0%,1,2%,14,61%
36,Dakota Allen,LB,JAX,0,0%,0,0%,20,87%
37,Chris Claybrooks,CB,JAX,0,0%,0,0%,16,70%
38,Chapelle Russell,LB,JAX,0,0%,0,0%,15,65%
39,Daniel Thomas,SS,JAX,0,0%,0,0%,15,65%
40,Andre Cisco,SS,JAX,0,0%,0,0%,15,65%
41,Shaquille Quarterman,LB,JAX,0,0%,0,0%,14,61%
42,Logan Cooke,P,JAX,0,0%,0,0%,11,48%
43,Ross Matiscik,LS,JAX,0,0%,0,0%,7,31%
44,Tyler Shatley,G,JAX,0,0%,0,0%,3,13%
45,Will Richardson,T,JAX,0,0%,0,0%,3,13%
46,Matthew Wright,K,JAX,0,0%,0,0%,3,13%
