,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Cameron Sutton,PIT,0,9,4,44.4%,80,20.0,8.9,0,76.2,10.3,50,30,0,0,0,0.0,0,1,1,50.0%
1,Joe Haden,PIT,0,5,3,60.0%,20,6.7,4.0,0,68.7,11.2,4,16,0,0,0,0.0,0,5,2,28.6%
2,Terrell Edmunds,PIT,0,6,3,50.0%,32,10.7,5.3,1,105.6,6.0,12,20,0,0,0,0.0,0,7,1,12.5%
3,Devin Bush Jr.,PIT,0,2,2,100.0%,15,7.5,7.5,0,97.9,6.5,13,2,4,0,1,1.0,2,6,0,0.0%
4,Arthur Maulet,PIT,0,3,2,66.7%,26,13.0,8.7,0,93.7,7.3,3,23,2,0,0,0.0,0,4,0,0.0%
5,Joe Schobert,PIT,0,4,2,50.0%,31,15.5,7.8,0,76.0,10.3,15,16,0,0,0,0.0,0,8,0,0.0%
6,Minkah Fitzpatrick,PIT,0,2,2,100.0%,13,6.5,6.5,1,133.3,4.5,9,4,0,0,0,0.0,0,8,1,11.1%
7,Melvin Ingram,PIT,0,1,1,100.0%,6,6.0,6.0,0,91.7,4.0,4,2,5,0,2,0.0,2,1,1,50.0%
8,Alex Highsmith,PIT,0,1,1,100.0%,26,26.0,26.0,0,118.7,2.0,2,24,3,1,0,0.0,1,5,2,28.6%
9,James Pierre,PIT,0,2,1,50.0%,11,11.0,5.5,0,66.7,11.0,11,0,0,0,0,0.0,0,1,0,0.0%
10,T.J. Watt,PIT,0,0,0,,,,,,,,,,10,3,0,2.0,5,4,1,20.0%
11,Chris Wormley,PIT,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%
12,Cameron Heyward,PIT,0,0,0,,,,,,,,,,0,0,1,0.0,1,8,0,0.0%
13,Henry Mondeaux,PIT,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
14,Isaiah Buggs,PIT,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
15,Kendrick Green,PIT,0,1,0,0.0%,,,0.0,,39.6,32.0,,,0,0,0,0.0,0,0,0,
17,Eric Stokes,GNB,1,15,9,60.0%,70,7.8,4.7,0,43.8,8.9,41,29,0,0,0,0.0,0,8,1,11.1%
18,De'Vondre Campbell,GNB,0,7,4,57.1%,33,8.3,4.7,0,69.3,3.7,15,18,5,0,1,0.0,1,9,0,0.0%
19,Oren Burks,GNB,0,4,3,75.0%,15,5.0,3.8,0,80.2,0.0,0,15,1,1,0,0.0,1,6,2,25.0%
20,Jaire Alexander,GNB,0,5,3,60.0%,46,15.3,9.2,1,130.0,13.8,32,14,0,0,0,0.0,0,0,1,100.0%
21,Isaac Yiadom,GNB,0,3,3,100.0%,52,17.3,17.3,0,118.7,12.0,36,16,1,0,0,0.0,0,5,0,0.0%
22,Dean Lowry,GNB,0,1,1,100.0%,7,7.0,7.0,0,95.8,-3.0,-3,10,0,0,0,0.0,0,2,0,0.0%
23,Darnell Savage Jr.,GNB,0,1,1,100.0%,0,0.0,0.0,0,79.2,2.0,2,-2,0,0,0,0.0,0,1,2,66.7%
24,Shemar Jean-Charles,GNB,0,1,1,100.0%,4,4.0,4.0,0,83.3,-6.0,-6,10,0,0,0,0.0,0,1,0,0.0%
25,Chandon Sullivan,GNB,0,2,1,50.0%,4,4.0,2.0,0,56.2,15.0,3,1,0,0,0,0.0,0,3,1,25.0%
26,Adrian Amos,GNB,0,1,1,100.0%,12,12.0,12.0,0,116.7,5.0,5,7,1,0,0,0.0,0,5,0,0.0%
27,Rashan Gary,GNB,0,0,0,,,,,,,,,,6,0,1,1.0,2,6,0,0.0%
28,Kingsley Keke,GNB,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
29,Chauncey Rivers,GNB,0,0,0,,,,,,,,,,3,1,0,0.0,1,1,0,0.0%
30,Kenny Clark,GNB,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
31,Preston Smith,GNB,0,0,0,,,,,,,,,,4,0,0,0.0,0,0,1,100.0%
32,Jonathan Garvin,GNB,0,0,0,,,,,,,,,,4,0,0,0.0,0,1,0,0.0%
33,Henry Black,GNB,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
