,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Sean Chandler,CAR,0,0,0,0,0,0.0,9,3,6,0,0,0,0,0,0
1,Jeremy Chinn,CAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
2,Shaq Thompson,CAR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
3,Brian Burns,CAR,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
4,Jermaine Carter Jr.,CAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
5,A.J. Bouye,CAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
6,Sam Franklin,CAR,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0
7,C.J. Henderson,CAR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
8,Haason Reddick,CAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Rashaan Melvin,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
10,Derrick Brown,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
11,Morgan Fox,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
12,Marquis Haynes,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
13,Donte Jackson,CAR,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
14,DaQuan Jones,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Daviyon Nixon,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Julian Stanford,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Frankie Luvu,CAR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
20,Trevon Diggs,DAL,2,23,0,23,2,0.0,4,4,0,0,0,0,0,0,0
21,Randy Gregory,DAL,0,0,0,0,0,2.0,3,2,1,2,4,0,0,0,0
22,Micah Parsons,DAL,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
23,Tarell Basham,DAL,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
24,Chauncey Golston,DAL,0,0,0,0,0,0.5,5,3,2,0,1,0,0,0,0
25,Osa Odighizuwa,DAL,0,0,0,0,0,0.5,3,2,1,1,3,0,0,0,0
26,Anthony Brown,DAL,0,0,0,0,3,0.0,6,6,0,0,0,0,0,0,0
27,Jayron Kearse,DAL,0,0,0,0,0,0.0,6,5,1,2,1,0,0,0,0
28,Leighton Vander Esch,DAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
29,Damontae Kazee,DAL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
30,Jourdan Lewis,DAL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
31,Malik Hooker,DAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
32,Austin Faoliu,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Justin Hamilton,DAL,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
34,Maurice Canady,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Azur Kamara,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Jaylon Smith,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Dak Prescott,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,20,0,0
