,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Antoine Winfield Jr.,TAM,1,0,0,0,1,0.0,7,5,2,0,0,0,0,0,1
1,Joe Tryon-Shoyinka,TAM,0,0,0,0,0,2.0,2,2,0,2,4,0,0,0,0
2,William Gholston,TAM,0,0,0,0,0,1.0,4,4,0,1,3,0,0,0,0
3,Shaquil Barrett,TAM,0,0,0,0,1,1.0,3,3,0,1,2,0,0,0,0
4,Lavonte David,TAM,0,0,0,0,1,0.0,7,5,2,1,0,0,0,0,0
5,Richard Sherman,TAM,0,0,0,0,0,0.0,7,7,0,0,0,1,4,0,0
6,Devin White,TAM,0,0,0,0,1,0.0,5,5,0,0,2,0,0,0,0
7,Ross Cockrell,TAM,0,0,0,0,1,0.0,3,2,1,0,1,0,0,0,0
8,Pierre Desir,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
9,Mike Edwards,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,Kevin Minter,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Jordan Whitehead,TAM,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
12,Carlton Davis,TAM,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
13,Rashard Robinson,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Grant Stuard,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Ndamukong Suh,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Matt Judon,NWE,0,0,0,0,0,1.0,7,4,3,2,2,0,0,0,0
19,Jonathan Jones,NWE,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
20,Kyle Dugger,NWE,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
21,J.C. Jackson,NWE,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
22,Adrian Phillips,NWE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
23,Deatrich Wise Jr.,NWE,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
24,Davon Godchaux,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
25,Lawrence Guy,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
26,Dont'a Hightower,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
27,Jalen Mills,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
28,Christian Barmore,NWE,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
29,Justin Bethel,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
30,Brandon Bolden,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
31,Carl Davis,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
32,Devin McCourty,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Henry Anderson,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
34,Matthew Slater,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Josh Uche,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Kyle Van Noy,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Chase Winovich,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
