,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Sam Darnold,CAR,26,39,301,2,2,5,35,55,85.5,6,35,2,14,0,0,0,0,0,0,0
1,Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,13,57,0,14,2,2,14,0,11,0,0
2,Royce Freeman,CAR,0,0,0,0,0,0,0,0,,3,12,0,6,0,0,0,0,0,0,0
3,D.J. Moore,CAR,0,0,0,0,0,0,0,0,,1,6,0,6,12,8,113,2,39,0,0
4,Robby Anderson,CAR,0,0,0,0,0,0,0,0,,1,3,0,3,11,5,46,0,13,0,0
5,Brandon Zylstra,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,63,0,55,0,0
6,Rodney Smith,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,48,0,17,0,0
7,Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,0,9,0,0
8,Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
9,Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
12,Dak Prescott,DAL,14,22,188,4,0,0,0,35,130.3,4,35,0,21,0,0,0,0,0,0,0
13,Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,20,143,1,47,1,0,0,0,0,0,0
14,Tony Pollard,DAL,0,0,0,0,0,0,0,0,,10,67,0,18,0,0,0,0,0,0,0
15,Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,69,1,35,0,0
16,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,58,1,18,0,0
17,Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,30,1,23,0,0
18,Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,1,18,0,0
19,CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,7,0,0
