,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Carson Wentz,IND,24,32,228,2,0,2,18,41,115.1,5,8,0,10,0,0,0,0,0,0,0
1,Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,16,103,1,38,3,3,11,0,7,0,0
2,Marlon Mack,IND,0,0,0,0,0,0,0,0,,10,22,0,12,2,1,1,0,1,0,0
3,Nyheim Hines,IND,0,0,0,0,0,0,0,0,,2,6,0,7,2,2,5,0,3,1,1
4,Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,59,0,20,0,0
5,Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,41,0,0
6,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,42,2,28,0,0
7,Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0
8,Parris Campbell,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,12,0,0
9,Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
10,Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
13,Jacoby Brissett,MIA,20,30,199,2,0,3,31,42,107.5,3,8,0,6,0,0,0,0,0,2,1
14,Malcolm Brown,MIA,0,0,0,0,0,0,0,0,,8,23,0,4,1,1,4,0,4,0,0
15,Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,2,3,0,3,0,0,0,0,0,0,0
16,Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,3,1,0,4,2,2,12,0,8,0,0
17,DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,77,1,42,0,0
18,Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,57,1,22,0,0
19,Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,18,0,0
20,Albert Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
21,Will Fuller,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
22,Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0
23,Adam Shaheen,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
24,Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-7,0,-7,1,1
