,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Tom Brady,TAM,22,43,269,0,0,1,8,28,70.8,4,3,0,6,0,0,0,0,0,0,0
1,Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,20,92,0,21,5,3,47,0,23,0,0
2,Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,6,25,1,8,0,0,0,0,0,0,0
3,Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,75,0,28,0,0
4,Antonio Brown,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,63,0,27,0,0
5,Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,55,0,28,0,0
6,Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,29,0,18,0,0
7,Codey McElroy,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
8,O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
9,Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
12,Mac Jones,NWE,31,40,275,2,1,4,25,21,101.6,1,-1,0,-1,0,0,0,0,0,0,0
13,Jakobi Meyers,NWE,2,2,45,0,0,0,0,30,118.7,0,0,0,0,12,8,70,0,21,0,0
14,Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,5,3,55,0,30,0,0
15,Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,58,0,17,0,0
16,Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,1,0,0,0,6,6,51,0,15,0,0
17,Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,1,11,0,0
18,Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,14,1,12,0,0
19,N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
20,J.J. Taylor,NWE,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,0,0,0,1,1
21,Damien Harris,NWE,0,0,0,0,0,0,0,0,,4,-4,0,1,2,2,30,0,21,0,0
