,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Patrick Mahomes,KAN,24,30,278,5,1,1,7,44,131.0,5,26,0,12,0,0,0,0,0,0,0
1,Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,14,102,0,17,3,2,12,1,11,0,0
2,Darrel Williams,KAN,0,0,0,0,0,0,0,0,,10,42,1,10,2,2,16,0,9,0,0
3,Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,2,25,0,24,3,2,16,0,9,0,0
4,Michael Burton,KAN,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
5,Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,12,11,186,3,44,0,0
6,Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,23,0,10,0,0
7,Byron Pringle,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,19,1,0
8,Joe Fortson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
9,Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
12,Jalen Hurts,PHI,32,48,387,2,0,3,29,37,105.1,8,47,0,12,0,0,0,0,0,1,0
13,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,3,31,1,13,8,6,58,0,15,0,0
14,Miles Sanders,PHI,0,0,0,0,0,0,0,0,,7,13,0,5,3,3,34,0,18,0,0
15,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,1,12,0,12,1,1,9,0,9,0,0
16,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,122,0,37,0,0
17,Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,60,0,19,0,0
18,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,56,1,21,1,0
19,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,33,0,18,0,0
20,Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,1,15,0,0
