,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Tyreek Hill,KAN,12,11,186,3,9,143,13.0,43,3.9,13.6,2,5.5,0,0.0,0,158.3
1,Travis Kelce,KAN,6,4,23,0,2,6,1.5,17,4.3,3.8,0,,1,16.7,1,34.0
2,Clyde Edwards-Helaire,KAN,3,2,12,1,2,1,0.5,11,5.5,0.3,0,,0,0.0,0,113.9
3,Mecole Hardman,KAN,3,2,16,0,1,-4,-2.0,20,10.0,3.7,2,1.0,0,0.0,0,79.9
4,Byron Pringle,KAN,2,2,23,0,1,19,9.5,4,2.0,9.5,0,,0,0.0,0,114.6
5,Darrel Williams,KAN,2,2,16,0,0,-5,-2.5,21,10.5,-2.5,0,,0,0.0,0,100.0
6,Joe Fortson,KAN,1,1,2,1,1,1,1.0,1,1.0,1.0,0,,0,0.0,0,118.7
7,Noah Gray,KAN,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
9,DeVonta Smith,PHI,10,7,122,0,6,84,12.0,38,5.4,14.4,0,,0,0.0,0,111.2
10,Zach Ertz,PHI,8,6,60,0,2,31,5.2,29,4.8,7.4,1,6.0,1,12.5,0,95.8
11,Kenneth Gainwell,PHI,8,6,58,0,2,17,2.8,41,6.8,2.4,0,,0,0.0,0,94.8
12,Dallas Goedert,PHI,5,5,56,1,4,30,6.0,26,5.2,6.0,0,,0,0.0,0,152.9
13,Miles Sanders,PHI,3,3,34,0,2,1,0.3,33,11.0,0.3,3,1.0,0,0.0,0,113.9
14,Quez Watkins,PHI,7,3,33,0,2,5,1.7,28,9.3,6.7,0,,0,0.0,0,57.4
15,Jalen Reagor,PHI,1,1,9,0,0,-2,-2.0,11,11.0,-2.0,0,,0,0.0,0,104.2
16,Greg Ward,PHI,2,1,15,1,1,15,15.0,0,0.0,9.0,0,,1,50.0,0,114.6
